"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"85","FBgn0038467",2414.25054654351,-0.807674090757269,0.12819283523148,37.9845507619867,5.64624349533387e-09,7.69549775216976e-07,"AdSL"
"86","FBgn0041096",292.380564760148,0.372714256457488,0.0745728425061181,37.887526761015,5.92690679055693e-09,7.89232358259794e-07,"rols"
"87","FBgn0010638",3738.30115792161,-0.25167858047508,0.0636237904887089,37.9096442140309,5.86172383386443e-09,7.89232358259794e-07,"Sec61beta"
"88","FBgn0037613",1418.17062674297,-0.775252600771327,0.123380320728573,37.790998976281,6.21997786962036e-09,8.1884595022218e-07,"Cks85A"
"89","FBgn0039241",12346.7909096625,-1.14509629295668,0.178821116106813,37.7066937963082,6.48777047146129e-09,8.4450360575145e-07,"CG11089"
"90","FBgn0034500",865.433645019376,0.396804268100103,0.0648084254702437,37.4242251586959,7.47192943978578e-09,9.6180336177687e-07,"CG11200"
"91","FBgn0001125",10351.6787258227,-0.895615399185046,0.143563270404724,37.3577412573203,7.72448542014587e-09,9.81630560698865e-07,"Got2"
"92","FBgn0038113",85.9091422555591,-0.569614204024351,0.0956242459785529,37.339457340591,7.79542611862715e-09,9.81630560698865e-07,"CG11668"
"93","FBgn0043791",733.145676893822,3.37232745260212,0.540125010802029,36.6878579131417,1.07977402958844e-08,1.34507334761097e-06,"phu"
"94","FBgn0037536",2293.84709662237,0.207567418849554,0.0345921628591043,36.5458473991293,1.15923122041602e-08,1.42266239277188e-06,"CG2698"
"95","FBgn0035264",143.719962290346,0.427582335419046,0.103455182581999,36.5331401252136,1.1666200027046e-08,1.42266239277188e-06,"Oseg4"
"96","FBgn0037447",949.622426068333,0.539715950228507,0.101816468290449,36.502499184087,1.18463078465721e-08,1.42957787919311e-06,"Neurochondrin"
"97","FBgn0031049",2995.76787242448,-0.299506752162628,0.0751060866698271,36.3489396176176,1.27916936686034e-08,1.52775021804918e-06,"Sec61gamma"
"98","FBgn0043576",92.893950389567,-3.16501279990857,0.507748049230515,36.1814774031197,1.39088751361512e-08,1.6442277393093e-06,"PGRP-SC1a"
"99","FBgn0265262",2727.7598844563,0.418203296573274,0.0799299862929417,35.9568900677369,1.55618250511618e-08,1.82104791129e-06,"Vha68-1"
"100","FBgn0039114",8819.4551662195,0.614404041688334,0.106065783046292,35.6868651214739,1.78113033640379e-08,2.0634394947238e-06,"Lsd-1"
"101","FBgn0036369",336.45797315673,0.533048553259164,0.105792474763123,35.6453413035135,1.81849655712944e-08,2.0858695657767e-06,"CG10089"
"102","FBgn0038463",1397.55955714,-0.630539056064438,0.106315813799157,35.4120890027962,2.04344322935891e-08,2.32091076589441e-06,"CG3534"
"103","FBgn0014029",1177.01653476368,0.155326255375827,0.0367695171681532,35.3259434913487,2.13338303328403e-08,2.39953810102869e-06,"Sep2"
"104","FBgn0001296",1304.70668320256,0.373207750229445,0.0650718816749224,35.0448561973487,2.45530906475012e-08,2.73507264568559e-06,"kar"
"105","FBgn0039017",201.764068403406,-0.431732722504098,0.0846731308525853,34.980373593822,2.53576140016783e-08,2.79779007818517e-06,"CG6985"
"106","FBgn0030306",1769.7006778687,-0.304595077961081,0.0539397653246849,34.9095959141461,2.62710580764493e-08,2.8639600241781e-06,"Spase25"
"107","FBgn0266369",3653.07928202966,-0.604946293647644,0.102184376879955,34.8958857388125,2.64517671633195e-08,2.8639600241781e-06,"Mtp"
"108","FBgn0021795",3177.39899753776,-0.269616514452176,0.065170837429128,34.7544120415738,2.83906485961116e-08,3.04542281468474e-06,"Tapdelta"
"109","FBgn0014002",20804.966410109,-0.274142943255913,0.0641869795054248,34.6887884315738,2.93376484476082e-08,3.11813447032606e-06,"Pdi"
"110","FBgn0031559",129.659613332564,-1.41538161767996,0.271827273507204,34.6663382960751,2.96688207775978e-08,3.1246662609861e-06,"CG3513"
"111","FBgn0010263",5311.54033983159,0.463469655925467,0.0809284493963965,34.5584048708946,3.13139411175159e-08,3.2682162869047e-06,"Rbp9"
"112","FBgn0040349",2386.47481358293,-1.43262950799355,0.230832865424423,34.4981105696015,3.22723411469785e-08,3.33817028739059e-06,"CG3699"
