"","x"
"788","CG17029"
"789","CR45949"
"790","Sbp2"
"791","CG3894"
"792","CG42258"
"793","mEFTu1"
"794","CG8441"
"795","5-HT2A"
"796","CG5377"
"797","CG17186"
"798","Acph-1"
"799","CG30158"
"800","CG7460"
"801","RhoGAP92B"
"802","CG43348"
"803","CngB"
"804","Su(var)3-7"
"805","betaCOP"
"806","CG17124"
"807","Tet"
"808","CG15199"
"809","CG5758"
"810","Kua"
"811","armi"
"812","CG17249"
"813","Nipsnap"
"814","CadN2"
"815","CG32547"
"816","Syx8"
"817","wkd"
"818","mRpL32"
"819","CG8927"
"820","elB"
"821","Flo1"
"822","CG44006"
"823","Ets21C"
"824","so"
"825","Cep135"
"826","TwdlY"
"827","Gem3"
"828","CG12541"
"829","Tg"
"830","Cpr47Ef"
"831","Gtp-bp"
"832","tsh"
"833","Ing5"
"834","CG33144"
"835","CG30485"
"836","CG12404"
"837","l(1)G0334"
"838","Tsp42En"
"839","Asph"
"840","elm"
"841","CG12502"
"842","Tgs1"
"843","Spn42Da"
"844","Droj2"
"845","CG12129"
"846","Prx2540-2"
"847","l(2)01289"
"848","ppl"
"849","SH3PX1"
"850","CG1129"
"851","CG5550"
"852","CG12290"
"853","CG14985"
"854","dpr9"
"855","CG4576"
"856","tamo"
"857","Jafrac1"
"858","CG45087"
"859","Pat1"
"860","Odj"
"861","lectin-24Db"
"862","Nlg1"
"863","CG32669"
"864","CG32549"
"865","tef"
"866","CG10947"
"867","dgo"
"868","obst-B"
"869","HIP-R"
"870","CG4753"
"871","CG31157"
"872","CG6287"
"873","disco"
"874","CG7378"
"875","CG9220"
"876","Oseg2"
"877","tub"
"878","deltaCOP"
"879","bai"
"880","CG14285"
"881","CG12011"
"882","Muc55B"
"883","CG14855"
"884","Papss"
"885","TotX"
"886","Rtnl1"
"887","CG8089"
"888","wol"
"889","CG5196"
"890","CG1105"
"891","CG2017"
"892","Gapdh2"
"893","CG7231"
"894","CR45528"
"895","Gdap1"
"896","CG31808"
"897","FASN2"
"898","Hmgs"
"899","CG17107"
"900","CG40298"
"901","CG32706"
"902","CG11658"
"903","Tailor"
"904","LeuRS-m"
"905","Cerk"
"906","Acox57D-d"
"907","dgrn"
"908","uri"
"909","CG42306"
"910","AGBE"
"911","Claspin"
"912","CG12091"
"913","l(2)k09913"
"914","CG13390"
"915","CG6379"
"916","Ripalpha"
"917","Cyp6v1"
"918","jhamt"
"919","CG7791"
"920","CG5527"
"921","Drsl4"
"922","CG2852"
"923","CG43324"
"924","CG18649"
"925","cav"
"926","c11.1"
"927","CG44837"
"928","Galk"
"929","l(2)05714"
"930","CG15107"
"931","Myt1"
"932","alt"
"933","unc79"
"934","drongo"
"935","CG12025"
"936","CG32506"
"937","pita"
"938","ced-6"
"939","CG42817"
"940","CR45156"
"941","aralar1"
"942","SIFaR"
"943","CG5282"
"944","wry"
"945","FucTA"
"946","Pmm2"
"947","CG1942"
"948","zormin"
"949","RabX5"
"950","rad50"
"951","Sod3"
"952","Ktl"
"953","uzip"
"954","CG5808"
"955","CG9170"
"956","CG7589"
"957","Chmp1"
"958","alpha-Est8"
"959","eyg"
"960","CG5087"
"961","GlyS"
"962","TMS1"
"963","sgl"
"964","Pgi"
"965","prg"
"966","Mob2"
"967","SMC2"
"968","CG7236"
"969","CR44911"
"970","CG10814"
"971","CG15829"
"972","scb"
"973","tant"
"974","CG6870"
"975","sog"
"976","serp"
"977","stj"
"978","Gad1"
"979","CG6271"
"980","Rcp"
"981","ATP7"
"982","CG15553"
"983","pre-rRNA:CR45856"
"984","CG18507"
"985","Dat"
"986","fne"
"987","CG30108"
"988","CG8475"
"989","Ir31a"
"990","CG45076"
"991","FucTB"
"992","GstT4"
"993","CG15117"
"994","CG5599"
"995","GluRIA"
"996","CG4678"
"997","eIF3m"
"998","Nmdmc"
"999","l(2)k01209"
"1000","ppk3"
"1001","dpp"
"1002","CG32278"
"1003","Prm"
"1004","Vha36-3"
"1005","CG10345"
"1006","CG13284"
"1007","Npc2a"
"1008","pr"
"1009","CG1657"
"1010","CG9662"
"1011","meso18E"
"1012","CG12075"
"1013","CG34446"
"1014","CG14204"
"1015","HmgZ"
"1016","Sox21b"
"1017","CG6310"
"1018","sano"
"1019","TfIIFalpha"
"1020","CG7352"
"1021","Fitm"
"1022","e"
"1023","BCL7-like"
"1024","CG1824"
"1025","Cyp311a1"
"1026","Jon44E"
"1027","CG14757"
"1028","s-cup"
"1029","CG14109"
"1030","CG32485"
"1031","CG10962"
"1032","Ntf-2"
"1033","ecd"
"1034","alphaTub84B"
"1035","mmy"
"1036","Hml"
"1037","CG7896"
"1038","Src64B"
"1039","CR43870"
"1040","GlcT-1"
"1041","Nsun2"
"1042","CG9331"
"1043","CG6686"
"1044","CG33774"
"1045","CG11151"
"1046","CG12155"
"1047","CR45267"
"1048","sqa"
"1049","Tsp5D"
"1050","eIF4E1"
"1051","tey"
"1052","eca"
"1053","CG30090"
"1054","robo3"
"1055","CR45046"
"1056","Cyt-c1"
"1057","uif"
"1058","epsilonCOP"
"1059","CG31626"
"1060","CG5068"
"1061","Sac1"
"1062","CG31548"
"1063","CG15365"
"1064","CG12256"
"1065","Spt-I"
"1066","trbd"
"1067","mRRF1"
"1068","Nup154"
"1069","beta4GalNAcTA"
"1070","CG1572"
"1071","CG5694"
"1072","Nmt"
"1073","Cpr47Ea"
"1074","CR43264"
"1075","CG4901"
"1076","awd"
"1077","snRNA:U1:95Ca"
"1078","CG4407"
"1079","Cse1"
"1080","CG34325"
"1081","mRpL18"
"1082","GAPsec"
"1083","CG18547"
"1084","CG31469"
"1085","CG3267"
"1086","CG3191"
"1087","hay"
"1088","CR45939"
"1089","CG16854"
"1090","Cyp6a22"
"1091","Dyb"
"1092","Unc-115a"
"1093","Kah"
"1094","CG11438"
"1095","ZnT86D"
"1096","IA-2"
"1097","CG4962"
"1098","Dop1R1"
"1099","Tsp42Eb"
"1100","TBPH"
"1101","grass"
"1102","CG32750"
"1103","Gyc88E"
"1104","CG33260"
"1105","Pex19"
"1106","bug"
"1107","ND-49"
"1108","betaGlu"
"1109","CG6654"
"1110","ppk26"
"1111","Hexo2"
"1112","rho"
"1113","Hayan"
"1114","VhaM9.7-a"
"1115","CG8272"
"1116","mus201"
"1117","CG6006"
"1118","CG11398"
"1119","fbp"
"1120","CG3793"
"1121","spri"
"1122","PIG-U"
"1123","ABCB7"
"1124","Prx3"
"1125","ACC"
"1126","CR44283"
"1127","dnd"
"1128","CG34396"
"1129","PIG-G"
"1130","CR31781"
"1131","CG6847"
"1132","mtRNApol"
"1133","mRpL35"
"1134","CG8768"
"1135","CG1358"
"1136","Damm"
"1137","Vha14-1"
"1138","pre-mod(mdg4)-W"
"1139","CG31637"
"1140","Atg2"
"1141","CG2034"
"1142","dor"
"1143","CG6454"
"1144","ppk"
"1145","CG4622"
"1146","endos"
"1147","CG15717"
"1148","Ubc7"
"1149","CG17278"
"1150","Tis11"
"1151","haf"
"1152","D19A"
"1153","CG6512"
"1154","alphaSnap"
"1155","CG13641"
"1156","CG10483"
"1157","mtm"
"1158","CG6910"
"1159","CG11594"
"1160","sds22"
"1161","Chrac-14"
"1162","Rab11"
"1163","Hsp60A"
"1164","Corin"
"1165","CG5890"
"1166","CG7058"
"1167","CG31606"
"1168","CG43773"
"1169","Srp72"
"1170","CG9004"
"1171","Obp83b"
"1172","SdhC"
"1173","scf"
"1174","CG18249"
"1175","GstE5"
"1176","CG17294"
"1177","CG46310"
"1178","Adk2"
"1179","CG34166"
"1180","CG12301"
"1181","Sclp"
"1182","fabp"
"1183","CG5167"
"1184","CG8078"
"1185","UK114"
"1186","CG2680"
"1187","THADA"
"1188","CG1344"
"1189","sut2"
"1190","CG3530"
"1191","CG4168"
"1192","Pkcdelta"
"1193","CG17765"
"1194","Nc73EF"
"1195","CG43402"
"1196","pasha"
"1197","CG5618"
"1198","CG7943"
"1199","DIP-alpha"
"1200","Smyd4-2"
"1201","stmA"
"1202","ppk10"
"1203","Ctr1B"
"1204","CG12560"
"1205","Idh3b"
"1206","CG32448"
"1207","tos"
"1208","CG15922"
"1209","Adf1"
"1210","CG11158"
"1211","CG13204"
"1212","ihog"
"1213","CG31075"
"1214","UbcE2H"
"1215","Srp14"
"1216","CR43080"
"1217","Cyp313a1"
"1218","CG13625"
"1219","slgA"
"1220","RecQ5"
"1221","IFT57"
"1222","dpr10"
"1223","CG9444"
"1224","Tbp"
"1225","CG43210"
"1226","Ect3"
"1227","CG15605"
"1228","csul"
"1229","SpdS"
"1230","CG5493"
"1231","CG11077"
"1232","CR44831"
"1233","GstD1"
"1234","CG13933"
"1235","grn"
"1236","Pgd"
"1237","Mat89Ba"
"1238","CG43729"
"1239","CG9521"
"1240","CG11835"
"1241","CG14207"
"1242","CG42808"
"1243","CG11307"
"1244","CG10984"
"1245","CG31142"
"1246","Cad89D"
"1247","SLC5A11"
"1248","CG7530"
"1249","bond"
"1250","CG3822"
"1251","l(3)07882"
"1252","CG18446"
"1253","Rlb1"
"1254","Spn31A"
"1255","CG5791"
"1256","ninaD"
"1257","l(1)G0255"
"1258","CG4462"
"1259","TpnC47D"
"1260","GstE14"
"1261","snRNA:U1:95Cb"
"1262","ZnT63C"
"1263","lectin-46Cb"
"1264","CG11652"
"1265","CG8712"
"1266","CG31809"
"1267","mRpL13"
"1268","CR43051"
"1269","CG9672"
"1270","Shal"
"1271","CG11852"
"1272","Eip63F-1"
"1273","mus205"
"1274","ALiX"
"1275","CG31126"
"1276","CG1637"
"1277","CG6083"
"1278","Snmp1"
"1279","CG14275"
"1280","CCHa1"
"1281","Jra"
"1282","CG3328"
"1283","Jhe"
"1284","NimB1"
"1285","CG1943"
"1286","CG18787"
"1287","CG42534"
"1288","CG6689"
"1289","Der-1"
"1290","Efhc1.1"
"1291","Nep1"
"1292","SCCRO3"
"1293","CG17778"
"1294","CG6144"
"1295","unc80"
"1296","CG10513"
"1297","mthl5"
"1298","Hexo1"
"1299","CG11377"
"1300","CG5355"
"1301","CG34404"
"1302","CG13850"
"1303","CG5080"
"1304","CG32221"
"1305","cbt"
"1306","CG10038"
"1307","AlaRS"
"1308","CG3984"
"1309","CG17477"
"1310","CG9839"
"1311","CG11044"
"1312","sage"
"1313","FLASH"
"1314","CG16898"
"1315","CG9154"
"1316","pirk"
"1317","CG7324"
"1318","CG8064"
"1319","CG15211"
"1320","CG4752"
"1321","Nep3"
"1322","CG14184"
"1323","CG11583"
"1324","CG7382"
"1325","Hsc70-5"
"1326","CG31663"
"1327","Rgk1"
"1328","Strip"
"1329","Appl"
"1330","Sec63"
"1331","CG8665"
"1332","B-H2"
"1333","Tgi"
"1334","Syt14"
"1335","NK7.1"
"1336","CG8997"
"1337","Iyd"
"1338","NLaz"
"1339","CrebB"
"1340","CanA1"
"1341","CG9586"
"1342","Vps60"
"1343","CG8569"
"1344","CG43110"
"1345","snz"
"1346","Pih1D1"
"1347","Pgk"
"1348","CG31108"
"1349","CG31908"
"1350","Rab2"
"1351","CG14186"
