"","Gene","symbol","annotation_ID","pathway","baseMean","lfcSE","stat","pvalue","padj","FC_DR_B","FC_HS_B","FC_DRHS_B","FC_DR_H","FC_HS_H","FC_DRHS_H","FC_DR_O","FC_HS_O","FC_DRHS_O"
"28","FBgn0020299","stumps","CG31317","TOR",312.288196727339,0.111839730046766,11.5860826989714,0.00304869591244888,0.0212279090093122,0.0277684710742084,0.383343734953455,-0.355575263879247,0.218445753174957,0.435478439672752,-0.217032686497795,-0.0372935544163112,0.221771047999575,-0.259064602415886
"29","FBgn0264075","tgo","CG11987","IIS",934.67486081852,0.0778759033123262,11.4835646895269,0.00320904355313542,0.021974848685099,-0.37713753625313,0.0506670574227119,-0.427804593675842,-9.18567419452766e-06,0.121838455757451,-0.121847641431646,-0.256433009439392,-0.0567121833176554,-0.199720826121736
"30","FBgn0010389","htl","CG7223","TOR",283.103883015578,0.105227793974512,11.1718834621754,0.00375021641091469,0.0247463114732728,0.00454866112318892,0.358560491906013,-0.354011830782824,0.346768407942243,0.340084599085614,0.00668380885662976,0.397605139689504,0.345121694585798,0.0524834451037061
"31","FBgn0005695","gcl","CG8411","TOR",2007.17889702627,0.0788329052436682,11.0863068874481,0.00391416425948296,0.0255614778512933,-0.468440400179939,-0.268320389019219,-0.20012001116072,-0.268042313027496,-0.191479371878256,-0.0765629411492398,-0.0538412868437613,-0.0213302191398628,-0.0325110677038984
"32","FBgn0041191","Rheb","CG1081","FOXO",2442.56537581148,0.0465966270515358,11.0522371443211,0.00398141270301095,0.0258313344012566,0.00334861118475364,0.284625751892819,-0.281277140708066,-0.19461186324234,0.0112782548646097,-0.20589011810695,-0.0621654380585149,-0.090311231148931,0.0281457930904161
"33","FBgn0041191","Rheb","CG1081","IIS",2442.56537581148,0.0465966270515358,11.0522371443211,0.00398141270301095,0.0258313344012566,0.00334861118475364,0.284625751892819,-0.281277140708066,-0.19461186324234,0.0112782548646097,-0.20589011810695,-0.0621654380585149,-0.090311231148931,0.0281457930904161
"34","FBgn0041191","Rheb","CG1081","TOR",2442.56537581148,0.0465966270515358,11.0522371443211,0.00398141270301095,0.0258313344012566,0.00334861118475364,0.284625751892819,-0.281277140708066,-0.19461186324234,0.0112782548646097,-0.20589011810695,-0.0621654380585149,-0.090311231148931,0.0281457930904161
"35","FBgn0004107","Cdk2","CG10498","FOXO",776.784813601209,0.138216210623559,11.0103755850772,0.00406562501514363,0.0261149471780698,-0.720339102065266,-0.397839822584498,-0.322499279480768,-0.371108015061771,-0.202127524607429,-0.168980490454342,-0.322086690330096,-0.162722806476124,-0.159363883853973
"36","FBgn0027932","Akap200","CG13388","TOR",5012.03185715962,0.107713410552317,10.9165278222922,0.00426094670936234,0.0269813466751602,0.0470730043348102,0.496276643347575,-0.449203639012764,0.0704145824144938,0.409658912819279,-0.339244330404785,-0.107921776477834,0.00784996955940464,-0.115771746037238
"37","FBgn0000117","arm","CG11579","FOXO",7076.54104486583,0.0371158844697403,10.8055471217097,0.00450407128667795,0.0279416116646023,0.02001154668066,0.0491795951218925,-0.0291680484412325,0.12370109722275,0.176231470572832,-0.0525303733500815,0.180441141222871,0.0823232389452947,0.0981179022775768
"38","FBgn0000117","arm","CG11579","TOR",7076.54104486583,0.0371158844697403,10.8055471217097,0.00450407128667795,0.0279416116646023,0.02001154668066,0.0491795951218925,-0.0291680484412325,0.12370109722275,0.176231470572832,-0.0525303733500815,0.180441141222871,0.0823232389452947,0.0981179022775768
"39","FBgn0283468","slmb","CG3412","IIS",3102.5224198746,0.0417910654564966,10.2455874651537,0.00595935078471679,0.033447864873408,-0.293852212130597,-0.179698688839484,-0.114153523291113,-0.0776063793924108,-0.149113789303536,0.0715074099111254,0.0130556788051829,-0.0184065825417996,0.0314622613469825
"40","FBgn0283468","slmb","CG3412","TOR",3102.5224198746,0.0417910654564966,10.2455874651537,0.00595935078471679,0.033447864873408,-0.293852212130597,-0.179698688839484,-0.114153523291113,-0.0776063793924108,-0.149113789303536,0.0715074099111254,0.0130556788051829,-0.0184065825417996,0.0314622613469825
"41","FBgn0262656","Myc","CG10798","IIS",2126.98624786392,0.11217659294937,10.0974823913517,0.00641740662312231,0.0352504762450786,-0.170683869345457,0.422821045634798,-0.593504914980255,0.0890930364940611,0.262721838417119,-0.173628801923058,-0.274142770384882,0.000147913715498521,-0.27429068410038
"42","FBgn0262656","Myc","CG10798","TOR",2126.98624786392,0.11217659294937,10.0974823913517,0.00641740662312231,0.0352504762450786,-0.170683869345457,0.422821045634798,-0.593504914980255,0.0890930364940611,0.262721838417119,-0.173628801923058,-0.274142770384882,0.000147913715498521,-0.27429068410038
"43","FBgn0035626","lin-28","CG17334","IIS",15.7658935848922,0.471495649760852,10.0000600984458,0.0067377445320563,0.0365956952660634,0.357947271782751,0.772287920996447,-0.414340649213696,1.25757329810375,0.336373829022712,0.921199469081034,3.25693099700595,2.09517870733955,1.1617522896664
"44","FBgn0000659","fkh","CG10002","TOR",510.514347272203,0.237348275582635,9.54524354571311,0.00845817564974664,0.0428894909421622,0.0916962970789188,0.338790012841723,-0.247093715762804,0.682814647263227,0.611649386271124,0.0711652609921032,-0.381321568038072,1.30269037043331,-1.68401193847138
"45","FBgn0033247","Nup44A","CG8722","TOR",868.488774221986,0.0811673402311815,9.32499822973273,0.00944283416193064,0.0460749442075413,-0.0121284697261463,-0.110027455776984,0.0978989860508379,-0.460417010950723,-0.671259738190184,0.210842727239461,0.173430876098867,0.0465316607795007,0.126899215319366
"46","FBgn0260945","Atg1","CG10967","FOXO",2242.28616017843,0.0598913779597582,9.22184017517736,0.00994266597445841,0.047707533677362,-0.214093690601616,0.115592243668644,-0.32968593427026,0.12943807066398,0.203268681590589,-0.0738306109266088,-0.0538423914817106,0.0734531571889233,-0.127295548670634
"47","FBgn0260945","Atg1","CG10967","TOR",2242.28616017843,0.0598913779597582,9.22184017517736,0.00994266597445841,0.047707533677362,-0.214093690601616,0.115592243668644,-0.32968593427026,0.12943807066398,0.203268681590589,-0.0738306109266088,-0.0538423914817106,0.0734531571889233,-0.127295548670634
