gene_symbol,organism_abbreviation,primary_FBgn,secondary_FBgn,annotation_ID,secondary_annotation_IDs
crb,Dmel,FBgn0259685,"FBgn0086905,FBgn0000368,FBgn0024518,FBgn0028125,FBgn0060827,FBgn0010919,FBgn0044351",CG6383,
ZnT86D,Dmel,FBgn0037875,,CG6672,
CG7655,Dmel,FBgn0038536,,CG7655,
CG31360,Dmel,FBgn0051360,FBgn0063071,CG31360,
Pxt,Dmel,FBgn0261987,"FBgn0038538,FBgn0046466,FBgn0026186",CG7660,
CG42542,Dmel,FBgn0260659,"FBgn0051303,FBgn0038297",CG42542,"CG31303,CG4196"
CG44259,Dmel,FBgn0265199,,CG44259,
Lgr1,Dmel,FBgn0016650,,CG7665,
Spn88Eb,Dmel,FBgn0038299,,CG6687,
Mf,Dmel,FBgn0038294,FBgn0064959,CG6803,
CG14321,Dmel,FBgn0038540,,CG14321,
osa,Dmel,FBgn0261885,"FBgn0003013,FBgn0010708,FBgn0011421,FBgn0015384,FBgn0046467,FBgn0062101,FBgn0259443",CG7467,
CG31249,Dmel,FBgn0051249,FBgn0038537,CG31249,CG7477
CG31251,Dmel,FBgn0051251,FBgn0038537,CG31251,CG7477
alt,Dmel,FBgn0038535,,CG18212,
c12.1,Dmel,FBgn0040235,FBgn0030126,CG12135,
CG42822,Dmel,FBgn0262004,"FBgn0054035,FBgn0082895",CG42822,CG34035
CG42835,Dmel,FBgn0262024,,CG42835,
CG42821,Dmel,FBgn0262003,"FBgn0054035,FBgn0082895",CG42821,CG34035
C3G,Dmel,FBgn0259228,"FBgn0026145,FBgn0029902",CG42328,"CG14436,CG3126"
CG5866,Dmel,FBgn0038508,,CG5866,
CG42834,Dmel,FBgn0262023,,CG42834,
Eh,Dmel,FBgn0000564,FBgn0026855,CG5400,
CG17514,Dmel,FBgn0039959,,CG17514,
MFS17,Dmel,FBgn0058263,FBgn0045791,CG40263,
CG8132,Dmel,FBgn0037687,,CG8132,
CR41243,Dmel,FBgn0085570,,CR41243,CG41243
CG6225,Dmel,FBgn0038072,,CG6225,
CR41501,Dmel,FBgn0085786,,CR41501,
CG8135,Dmel,FBgn0037689,,CG8135,
Sym,Dmel,FBgn0037371,,CG2097,
CG2100,Dmel,FBgn0037369,,CG2100,
cas,Dmel,FBgn0004878,"FBgn0005769,FBgn0011311,FBgn0011466,FBgn0014137,FBgn0037367",CG2102,
Rab23,Dmel,FBgn0037364,,CG2108,
mbo,Dmel,FBgn0026207,"FBgn0010853,FBgn0023005,FBgn0038075,FBgn0062136",CG6819,
CG44094,Dmel,FBgn0264903,,CG44094,
CG7987,Dmel,FBgn0038244,FBgn0062149,CG7987,
CG44098,Dmel,FBgn0264907,"FBgn0051530,FBgn0037271,FBgn0037272,FBgn0037273",CG44098,"CG31530,CG14654,CG9767,CG12588"
CG31176,Dmel,FBgn0051176,"FBgn0038895,FBgn0038896,FBgn0044453",CG31176,"CG6328,CG15495"
CG44261,Dmel,FBgn0265201,,CG44261,
CG32750,Dmel,FBgn0052750,FBgn0029847,CG32750,CG3648
pon,Dmel,FBgn0025739,,CG3346,
CG12179,Dmel,FBgn0025388,,CG12179,
Caf1-180,Dmel,FBgn0030054,,CG12109,
Ca-alpha1T,Dmel,FBgn0264386,"FBgn0029846,FBgn0029844,FBgn0029845,FBgn0041343",CG15899,"CG4222,CG12544"
RpL34b,Dmel,FBgn0037686,"FBgn0025253,FBgn0025263",CG9354,
Vamp7,Dmel,FBgn0266186,"FBgn0067041,FBgn0033452",CG1599,
CG34117,Dmel,FBgn0083953,,CG34117,
CG2616,Dmel,FBgn0037512,,CG2616,
CG43349,Dmel,FBgn0263081,,CG43349,
CG5011,Dmel,FBgn0040723,,CG5011,
CG14342,Dmel,FBgn0031324,,CG14342,
CG13085,Dmel,FBgn0032780,,CG13085,
CG10086,Dmel,FBgn0037517,,CG10086,
d4,Dmel,FBgn0033015,,CG2682,
CG2641,Dmel,FBgn0037518,,CG2641,
CG18746,Dmel,FBgn0042103,,CG18746,
CG18745,Dmel,FBgn0042102,,CG18745,
dpr12,Dmel,FBgn0085414,"FBgn0033044,FBgn0040847",CG34385,"CG7796,CG14469"
CG18747,Dmel,FBgn0042104,,CG18747,
pyd3,Dmel,FBgn0037513,,CG3027,
CG15530,Dmel,FBgn0039752,,CG15530,
CG33977,Dmel,FBgn0053977,,CG33977,
Bet5,Dmel,FBgn0260860,"FBgn0045026,FBgn0039753",CG1359,
CG14374,Dmel,FBgn0040553,,CG14374,
CCHa2,Dmel,FBgn0038147,FBgn0063690,CG14375,
CG42329,Dmel,FBgn0259229,"FBgn0031325,FBgn0031326",CG42329,"CG5156,CG14343"
CecA1,Dmel,FBgn0000276,,CG1365,
CecA2,Dmel,FBgn0000277,,CG1367,
CecB,Dmel,FBgn0000278,,CG1878,
RpS7,Dmel,FBgn0039757,,CG1883,
CG4896,Dmel,FBgn0031319,,CG4896,
CG9799,Dmel,FBgn0038146,,CG9799,
mRpS21,Dmel,FBgn0044511,"FBgn0052854,FBgn0064899",CG32854,
CG9813,Dmel,FBgn0038143,,CG9813,
CG9743,Dmel,FBgn0039756,FBgn0062135,CG9743,
tio,Dmel,FBgn0028979,FBgn0032970,CG12630,
scaf,Dmel,FBgn0033033,FBgn0033034,CG11066,CG15900
mle,Dmel,FBgn0002774,,CG11680,
CG17508,Dmel,FBgn0039970,,CG17508,
l(2)09851,Dmel,FBgn0022288,"FBgn0022053,FBgn0033037",CG12792,
CG31028,Dmel,FBgn0051028,FBgn0039750,CG31028,CG2176
CG31030,Dmel,FBgn0051030,"FBgn0027669,FBgn0039750,FBgn0064841",CG31030,CG2176
Ir60e,Dmel,FBgn0035019,,CG13592,
RluA-2,Dmel,FBgn0032256,,CG6187,
Ir67a,Dmel,FBgn0036010,,CG12525,
BubR1,Dmel,FBgn0263855,"FBgn0025458,FBgn0022226,FBgn0069180",CG7838,
CG34200,Dmel,FBgn0085229,,CG34200,
Tsp42A,Dmel,FBgn0033042,,CG14468,
poly,Dmel,FBgn0086371,"FBgn0014374,FBgn0010858,FBgn0002506,FBgn0004732,FBgn0023020,FBgn0038141",CG9829,
CG6094,Dmel,FBgn0032261,,CG6094,
PK2-R2,Dmel,FBgn0038139,"FBgn0046554,FBgn0046555",CG8795,
ZnT41F,Dmel,FBgn0025693,FBgn0033040,CG11163,
vlc,Dmel,FBgn0259978,"FBgn0010633,FBgn0033036,FBgn0061521,FBgn0014098",CG8390,
CG32473,Dmel,FBgn0052473,"FBgn0038137,FBgn0038138",CG32473,"CG8775,CG11688"
CG6294,Dmel,FBgn0030640,,CG6294,
CG43750,Dmel,FBgn0264081,,CG43750,
CG44142,Dmel,FBgn0264991,,CG44142,
CG6299,Dmel,FBgn0030641,,CG6299,
Gr47a,Dmel,FBgn0041242,FBgn0033514,CG12906,
CG42654,Dmel,FBgn0261506,,CG42654,
CG43348,Dmel,FBgn0263080,,CG43348,CG43180
CG31693,Dmel,FBgn0051693,FBgn0047305,CG31693,
Ir84a,Dmel,FBgn0037501,,CG10101,
Tgt,Dmel,FBgn0031321,,CG4947,
CG5126,Dmel,FBgn0031320,,CG5126,
Grip75,Dmel,FBgn0026431,FBgn0032257,CG6176,
Ir87a,Dmel,FBgn0038153,,CG14376,
CG42389,Dmel,FBgn0259735,"FBgn0032589,FBgn0051738,FBgn0026005,FBgn0032591,FBgn0032592",CG42389,"CG31738,CG13260,CG4668,CG13261"
Tep2,Dmel,FBgn0041182,"FBgn0031931,FBgn0031932",CG7052,CG18589
Ir7b,Dmel,FBgn0029965,,CG15326,
CG15599,Dmel,FBgn0030667,,CG15599,
CG6739,Dmel,FBgn0031926,,CG6739,
CG6144,Dmel,FBgn0032259,,CG6144,
gcm,Dmel,FBgn0014179,FBgn0014259,CG12245,
CG1092,Dmel,FBgn0037228,,CG1092,
CG18585,Dmel,FBgn0031929,,CG18585,
Cpr30B,Dmel,FBgn0032125,,CG3818,
CG13113,Dmel,FBgn0032126,,CG13113,
cpx,Dmel,FBgn0041605,"FBgn0052490,FBgn0063217,FBgn0063605,FBgn0064822,FBgn0064830",CG32490,
CG9795,Dmel,FBgn0037234,,CG9795,
CG4017,Dmel,FBgn0032143,,CG4017,
CG31815,Dmel,FBgn0051815,,CG31815,
CG4364,Dmel,FBgn0032138,,CG4364,
Syt14,Dmel,FBgn0261086,"FBgn0084789,FBgn0037233",CG9778,
CG15628,Dmel,FBgn0031632,FBgn0066039,CG15628,
CG31710,Dmel,FBgn0051710,,CG31710,
Taf11,Dmel,FBgn0011291,,CG4079,
Nckx30C,Dmel,FBgn0028704,"FBgn0032141,FBgn0042190",CG18660,CG4106
CG4839,Dmel,FBgn0032187,,CG4839,
CG13135,Dmel,FBgn0032184,,CG13135,
CG10979,Dmel,FBgn0037379,,CG10979,
modSP,Dmel,FBgn0051217,"FBgn0013291,FBgn0015294",CG31217,"CG10100,CG17557"
CG14907,Dmel,FBgn0038455,,CG14907,
CG14906,Dmel,FBgn0015351,,CG14906,
CG10264,Dmel,FBgn0038394,,CG10264,
Ir92a,Dmel,FBgn0038789,,CG15685,
CG5013,Dmel,FBgn0038396,,CG5013,
Cyp4e2,Dmel,FBgn0014469,,CG2060,
Rpn5,Dmel,FBgn0028690,,CG1100,
msps,Dmel,FBgn0027948,FBgn0044745,CG5000,
CG1218,Dmel,FBgn0037377,,CG1218,
CG7384,Dmel,FBgn0032262,,CG7384,
CG2577,Dmel,FBgn0030384,,CG2577,
CG10407,Dmel,FBgn0038395,,CG10407,
CG11000,Dmel,FBgn0263353,"FBgn0051555,FBgn0047238,FBgn0037380",CG11000,CG31555
CG2023,Dmel,FBgn0037383,,CG2023,
CG2091,Dmel,FBgn0037372,,CG2091,
Hpr1,Dmel,FBgn0037382,,CG2031,
CG2046,Dmel,FBgn0037378,,CG2046,
Myo31DF,Dmel,FBgn0086347,"FBgn0011673,FBgn0064139",CG7438,
CG5892,Dmel,FBgn0038873,,CG5892,
TwdlM,Dmel,FBgn0039434,,CG5468,
TwdlJ,Dmel,FBgn0039440,,CG5471,
sut2,Dmel,FBgn0028562,FBgn0033255,CG17975,
ETHR,Dmel,FBgn0038874,"FBgn0046538,FBgn0046539",CG5911,
RluA-1,Dmel,FBgn0051719,"FBgn0032254,FBgn0032255",CG31719,"CG7475,CG13143"
Ir94c,Dmel,FBgn0051423,,CG31423,
CG7456,Dmel,FBgn0032258,,CG7456,
Ir94b,Dmel,FBgn0051424,,CG31424,
CG3308,Dmel,FBgn0038877,,CG3308,
Ir31a,Dmel,FBgn0051718,,CG31718,
CG3301,Dmel,FBgn0038878,,CG3301,
AP-2sigma,Dmel,FBgn0043012,"FBgn0038875,FBgn0043468",CG6056,
e,Dmel,FBgn0000527,,CG3331,
Ir40a,Dmel,FBgn0259683,"FBgn0032983,FBgn0032982",CG42352,"CG5922,CG5929"
CG5921,Dmel,FBgn0029835,,CG5921,
CG17328,Dmel,FBgn0028895,,CG17328,
Glut3,Dmel,FBgn0015230,,CG3853,
CG11168,Dmel,FBgn0039249,,CG11168,
parvin,Dmel,FBgn0052528,FBgn0031067,CG32528,CG12533
CG3645,Dmel,FBgn0031238,,CG3645,
CG11771,Dmel,FBgn0039252,FBgn0027773,CG11771,
Ir41a,Dmel,FBgn0040849,FBgn0053492,CG33492,CG17587
ssh,Dmel,FBgn0029157,"FBgn0010740,FBgn0039253,FBgn0041200",CG6238,
Ir56e,Dmel,FBgn0265142,,CR44211,
Osbp,Dmel,FBgn0020626,,CG6708,
CG9915,Dmel,FBgn0030738,,CG9915,
CG17565,Dmel,FBgn0038424,,CG17565,
CG3679,Dmel,FBgn0027521,,CG3679,
CG14881,Dmel,FBgn0038425,,CG14881,
CG3638,Dmel,FBgn0261444,"FBgn0026875,FBgn0070027",CG3638,
ema,Dmel,FBgn0038427,,CG12753,
CG14882,Dmel,FBgn0038429,FBgn0046757,CG14882,
CG15125,Dmel,FBgn0034463,,CG15125,
Pak3,Dmel,FBgn0044826,"FBgn0038430,FBgn0062119",CG14895,
CG13585,Dmel,FBgn0035020,FBgn0063295,CG13585,
CG14894,Dmel,FBgn0038428,,CG14894,
Ir60f,Dmel,FBgn0265154,,CR44223,
CG6723,Dmel,FBgn0037895,,CG6723,
trx,Dmel,FBgn0003862,"FBgn0011040,FBgn0011340,FBgn0011443",CG8651,
mbm,Dmel,FBgn0086912,"FBgn0002687,FBgn0031242",CG11604,
mRpS33,Dmel,FBgn0038426,,CG10406,
CG17075,Dmel,FBgn0031239,,CG17075,
CG42759,Dmel,FBgn0261817,,CG42759,
Invadolysin,Dmel,FBgn0086359,"FBgn0082644,FBgn0002478,FBgn0037793",CG3953,
PGRP-SC2,Dmel,FBgn0043575,FBgn0033328,CG14745,
Timp,Dmel,FBgn0025879,,CG6281,
CG12814,Dmel,FBgn0037796,FBgn0040542,CG12814,CG12815
Best1,Dmel,FBgn0040238,"FBgn0037795,FBgn0062053",CG6264,
CG42500,Dmel,FBgn0260226,,CG42500,CG14359
CG14355,Dmel,FBgn0038208,,CG14355,
Cyt-b5,Dmel,FBgn0264294,"FBgn0033189,FBgn0010500,FBgn0064864,FBgn0064982,FBgn0015930,FBgn0033181,FBgn0022277",CG2140,CG1624
Vps13,Dmel,FBgn0033194,FBgn0046277,CG2093,
scra,Dmel,FBgn0261385,"FBgn0004243,FBgn0003340,FBgn0004134,FBgn0010540,FBgn0011558,FBgn0015994",CG2092,
CG43179,Dmel,FBgn0262808,,CG43179,
CG1360,Dmel,FBgn0033195,,CG1360,
CG6254,Dmel,FBgn0037794,,CG6254,
blow,Dmel,FBgn0004133,,CG1363,
boca,Dmel,FBgn0004132,"FBgn0033193,FBgn0050498",CG30498,CG1364
CG14839,Dmel,FBgn0038219,,CG14839,
sunz,Dmel,FBgn0037462,"FBgn0061431,FBgn0064987",CG15179,
CG15177,Dmel,FBgn0037461,,CG15177,
glob2,Dmel,FBgn0250846,"FBgn0037458,FBgn0066877",CG15180,
CG17110,Dmel,FBgn0039050,,CG17110,
CG6726,Dmel,FBgn0039049,,CG6726,
CG17109,Dmel,FBgn0039051,,CG17109,
CG6733,Dmel,FBgn0039052,,CG6733,
Rassf,Dmel,FBgn0039055,,CG4656,
CG6738,Dmel,FBgn0039053,,CG6738,
CG1792,Dmel,FBgn0039860,,CG1792,
Med,Dmel,FBgn0011655,"FBgn0002479,FBgn0002509,FBgn0013946,FBgn0027760",CG1775,
pasha,Dmel,FBgn0039861,,CG1800,
CG11539,Dmel,FBgn0039859,,CG11539,
CG1894,Dmel,FBgn0039585,,CG1894,
Ppn,Dmel,FBgn0003137,"FBgn0039586,FBgn0039587,FBgn0053103",CG33103,"CG18436,CG1540"
tinc,Dmel,FBgn0261649,"FBgn0038554,FBgn0038553,FBgn0038555,FBgn0051247,FBgn0062837,FBgn0051246",CG31247,"CG31246,CG7723,CG14320,CG14319"
TwdlW,Dmel,FBgn0038487,,CG4060,
CG31266,Dmel,FBgn0051266,FBgn0038483,CG31266,CG5240
CG5255,Dmel,FBgn0038485,,CG5255,
CG5265,Dmel,FBgn0038486,,CG5265,
CG5292,Dmel,FBgn0038491,FBgn0061398,CG5292,
m-cup,Dmel,FBgn0038488,,CG11896,
CG4053,Dmel,FBgn0038482,,CG4053,
CG7059,Dmel,FBgn0038957,,CG7059,
CG13856,Dmel,FBgn0038959,,CG13856,
CG13855,Dmel,FBgn0038960,,CG13855,
lqfR,Dmel,FBgn0261279,"FBgn0010810,FBgn0038962,FBgn0038963,FBgn0040224,FBgn0051170,FBgn0259107,FBgn0042645,FBgn0051285,FBgn0002502,FBgn0004730",CG42250,"CG31285,CG31170,CG13854,CG13853"
mats,Dmel,FBgn0038965,FBgn0062109,CG13852,
CG13847,Dmel,FBgn0038967,,CG13847,
CG13850,Dmel,FBgn0038961,,CG13850,
CG42638,Dmel,FBgn0261361,,CG42638,
CG5379,Dmel,FBgn0038956,,CG5379,
CG7708,Dmel,FBgn0038641,,CG7708,
CG3999,Dmel,FBgn0037801,,CG3999,
pont,Dmel,FBgn0040078,"FBgn0028192,FBgn0037803,FBgn0061742",CG4003,
unk,Dmel,FBgn0004395,,CG4620,
CG43143,Dmel,FBgn0262617,"FBgn0037804,FBgn0037805,FBgn0037806",CG43143,"CG11870,CG11872,CG11871"
CG6293,Dmel,FBgn0037807,,CG6293,
Sirt6,Dmel,FBgn0037802,,CG6284,
CenB1A,Dmel,FBgn0039056,,CG6742,
CG31457,Dmel,FBgn0051457,FBgn0039057,CG31457,CG4639
CG3662,Dmel,FBgn0031285,,CG3662,
CG31365,Dmel,FBgn0051365,FBgn0039057,CG31365,CG4639
cwo,Dmel,FBgn0259938,"FBgn0259894,FBgn0016941,FBgn0011718,FBgn0037813",CG17100,
Rrp46,Dmel,FBgn0037815,,CG4043,
CG6345,Dmel,FBgn0037816,,CG6345,
Irp-1B,Dmel,FBgn0024957,,CG6342,
mRpS10,Dmel,FBgn0038307,FBgn0064933,CG4247,
CG42404,Dmel,FBgn0259823,"FBgn0083964,FBgn0038310,FBgn0051154,FBgn0062882",CG42404,"CG4285,CG34128,CG31154"
Su(var)3-9,Dmel,FBgn0263755,"FBgn0003600,FBgn0003624,FBgn0004560,FBgn0014846,FBgn0263739",CG43664,CG6476
Art3,Dmel,FBgn0038306,,CG6563,
CG12241,Dmel,FBgn0038304,,CG12241,
CG31344,Dmel,FBgn0051344,"FBgn0038305,FBgn0061805",CG31344,CG6572
Rpb7,Dmel,FBgn0051155,"FBgn0038305,FBgn0063635",CG31155,CG6572
ss,Dmel,FBgn0003513,,CG6993,
CG32152,Dmel,FBgn0052152,,CG32152,
CG10317,Dmel,FBgn0038423,,CG10317,
CG14880,Dmel,FBgn0038422,,CG14880,
E(spl)m3-HLH,Dmel,FBgn0002609,FBgn0010046,CG8346,
E(spl)m8-HLH,Dmel,FBgn0000591,,CG8365,
gro,Dmel,FBgn0001139,"FBgn0019999,FBgn0020008,FBgn0023439,FBgn0043006,FBgn0043009,FBgn0062049",CG8384,
CG14543,Dmel,FBgn0039404,,CG14543,
Vps2,Dmel,FBgn0039402,FBgn0045428,CG14542,
Sld5,Dmel,FBgn0039403,FBgn0046371,CG14549,
Dak1,Dmel,FBgn0028833,FBgn0062096,CG6092,
E(spl)m4-BFM,Dmel,FBgn0002629,,CG6099,
MESK4,Dmel,FBgn0043069,"FBgn0047207,FBgn0051447",CG31447,
CG3534,Dmel,FBgn0038463,,CG3534,
Irc,Dmel,FBgn0038465,,CG8913,
CG8907,Dmel,FBgn0038466,,CG8907,
Pxd,Dmel,FBgn0004577,,CG3477,
CG5225,Dmel,FBgn0038468,,CG5225,
CG31268,Dmel,FBgn0051268,,CG31268,
CG4009,Dmel,FBgn0038469,,CG4009,
AdSL,Dmel,FBgn0038467,,CG3590,
CG17556,Dmel,FBgn0038462,,CG17556,
CG3678,Dmel,FBgn0038461,,CG3678,
CG18622,Dmel,FBgn0038460,FBgn0062955,CG18622,
Moca-cyp,Dmel,FBgn0039581,"FBgn0045066,FBgn0045067,FBgn0045068,FBgn0046249",CG1866,
CG13838,Dmel,FBgn0039041,,CG13838,
Ublcp1,Dmel,FBgn0027526,,CG6697,
sav,Dmel,FBgn0053193,"FBgn0026180,FBgn0039046,FBgn0039047,FBgn0046446",CG33193,"CG13831,CG13832"
CG17119,Dmel,FBgn0039045,,CG17119,
CG17121,Dmel,FBgn0039043,,CG17121,
mRpL19,Dmel,FBgn0037608,,CG8039,
CG44227,Dmel,FBgn0265158,,CG44227,
CG8043,Dmel,FBgn0037610,,CG8043,
CG11755,Dmel,FBgn0037611,,CG11755,
CG46317,Dmel,FBgn0284233,,CG46317,
CG11760,Dmel,FBgn0037615,FBgn0063158,CG11760,
CG8202,Dmel,FBgn0037622,,CG8202,
CG9801,Dmel,FBgn0037623,,CG9801,
hb,Dmel,FBgn0001180,FBgn0015224,CG9786,
CG33325,Dmel,FBgn0053325,,CG33325,
CG9773,Dmel,FBgn0037609,,CG9773,
CG8223,Dmel,FBgn0037624,FBgn0065014,CG8223,
Gfat2,Dmel,FBgn0039580,,CG1345,
CG13318,Dmel,FBgn0037627,,CG13318,
larp,Dmel,FBgn0261618,"FBgn0260724,FBgn0040108,FBgn0039579,FBgn0039578,FBgn0047231,FBgn0061128,FBgn0061057",CG42551,"CG14066,CG14065"
CG34436,Dmel,FBgn0085465,FBgn0039574,CG34436,CG16918
cact,Dmel,FBgn0000250,FBgn0013453,CG5848,
Cyp12d1-p,Dmel,FBgn0050489,"FBgn0033576,FBgn0041339",CG30489,CG18240
CG14688,Dmel,FBgn0037819,,CG14688,
CG6465,Dmel,FBgn0037818,,CG6465,
c(2)M,Dmel,FBgn0028525,,CG4249,
Syx5,Dmel,FBgn0011708,"FBgn0001996,FBgn0015339,FBgn0020602",CG4214,
fzy,Dmel,FBgn0001086,,CG4274,
CG4278,Dmel,FBgn0014092,,CG4278,
CG4440,Dmel,FBgn0040984,FBgn0047161,CG4440,
CG31817,Dmel,FBgn0028899,"FBgn0051817,FBgn0066376,FBgn0066377",CG31817,
mRpL4,Dmel,FBgn0001995,FBgn0032584,CG5818,
CG5953,Dmel,FBgn0032587,,CG5953,
cni,Dmel,FBgn0000339,FBgn0020601,CG5855,
CG5861,Dmel,FBgn0015338,FBgn0020603,CG5861,
CG5724,Dmel,FBgn0038082,,CG5724,
Men,Dmel,FBgn0002719,"FBgn0038081,FBgn0062124",CG10120,
d-cup,Dmel,FBgn0038089,,CG14387,
beat-Vb,Dmel,FBgn0038092,"FBgn0038093,FBgn0051298",CG31298,"CG14386,CG14385"
Cyp304a1,Dmel,FBgn0038095,FBgn0040492,CG7241,
Spc25,Dmel,FBgn0087021,"FBgn0002349,FBgn0040494,FBgn0038094,FBgn0069190",CG7242,
foxo,Dmel,FBgn0038197,FBgn0062059,CG3143,
CG14384,Dmel,FBgn0038097,,CG14384,
CG10126,Dmel,FBgn0038088,,CG10126,
beat-Va,Dmel,FBgn0038087,,CG10134,
CG17450,Dmel,FBgn0040028,,CG17450,
Npc2b,Dmel,FBgn0038198,,CG3153,
140up,Dmel,FBgn0010340,FBgn0004843,CG9852,
twf,Dmel,FBgn0038206,,CG3172,
Kif19A,Dmel,FBgn0038205,,CG9913,
CCHa1,Dmel,FBgn0038199,,CG14358,
CG34278,Dmel,FBgn0085307,,CG34278,
CG42779,Dmel,FBgn0261847,,CG42779,
cal1,Dmel,FBgn0038478,,CG5148,
cher,Dmel,FBgn0014141,"FBgn0016063,FBgn0023208",CG3937,
sle,Dmel,FBgn0037810,,CG12819,
CG12592,Dmel,FBgn0037811,,CG12592,
CG31406,Dmel,FBgn0051406,FBgn0065012,CG31406,
Rfx,Dmel,FBgn0020379,,CG6312,
CG46318,Dmel,FBgn0284234,,CG46318,
nac,Dmel,FBgn0265351,"FBgn0002918,FBgn0037567",CG9620,
CG40486,Dmel,FBgn0263830,"FBgn0069972,FBgn0031206",CG40486,CG12466
AgmNAT,Dmel,FBgn0029813,,CG15766,
stas,Dmel,FBgn0030850,,CG8408,
AANATL7,Dmel,FBgn0040376,"FBgn0029624,FBgn0061449",CG13759,
Mks1,Dmel,FBgn0030395,,CG15730,
Usp12-46,Dmel,FBgn0039025,,CG7023,
tn,Dmel,FBgn0265356,"FBgn0034412,FBgn0003726",CG15105,
CG2811,Dmel,FBgn0035082,FBgn0047065,CG2811,
CG8746,Dmel,FBgn0033330,,CG8746,
sns,Dmel,FBgn0024189,"FBgn0026614,FBgn0033331,FBgn0033332,FBgn0033333,FBgn0033334,FBgn0033335,FBgn0033336,FBgn0040776,FBgn0042193,FBgn0053141",CG33141,"CG13755,CG13752,CG13753,CG8278,CG2385,CG13754,CG12495,CG18464"
CG30350,Dmel,FBgn0050350,FBgn0033334,CG30350,CG8278
CG8272,Dmel,FBgn0033337,,CG8272,
Sec24AB,Dmel,FBgn0033460,,CG1472,
Mal-A2,Dmel,FBgn0002569,,CG8694,
l(2)k10201,Dmel,FBgn0016970,"FBgn0033409,FBgn0033410",CG13951,CG8803
CG8800,Dmel,FBgn0033408,,CG8800,
CSN7,Dmel,FBgn0028836,FBgn0033291,CG2038,
Mal-A8,Dmel,FBgn0033297,,CG8690,
Mal-A5,Dmel,FBgn0050359,FBgn0033295,CG30359,CG8689
Cyp4e1,Dmel,FBgn0015034,FBgn0033293,CG2062,
Mal-A4,Dmel,FBgn0033294,,CG8693,
Orc6,Dmel,FBgn0023180,,CG1584,
Mal-A3,Dmel,FBgn0002571,,CG8695,
Mal-A1,Dmel,FBgn0002570,,CG8696,
Odc1,Dmel,FBgn0013307,FBgn0002984,CG8721,
Odc2,Dmel,FBgn0013308,FBgn0002984,CG8719,
Optix,Dmel,FBgn0025360,"FBgn0027365,FBgn0033251,FBgn0045871",CG18455,
hebe,Dmel,FBgn0033448,,CG1623,
sut1,Dmel,FBgn0028563,,CG8714,
slv,Dmel,FBgn0025469,FBgn0025735,CG8717,
Vps28,Dmel,FBgn0021814,FBgn0033254,CG12770,
CG12769,Dmel,FBgn0033252,,CG12769,
CG14762,Dmel,FBgn0033250,,CG14762,
BBS4,Dmel,FBgn0033578,,CG13232,
dila,Dmel,FBgn0033447,,CG1625,CG1626
CG11191,Dmel,FBgn0033249,,CG11191,
Hey,Dmel,FBgn0027788,FBgn0027789,CG11194,
Dic3,Dmel,FBgn0033248,,CG11196,
CG13747,Dmel,FBgn0033364,,CG13747,
CR18166,Dmel,FBgn0029526,FBgn0043840,CR18166,"CG18166,CG13372"
CG30001,Dmel,FBgn0050001,,CG30001,
ana,Dmel,FBgn0011746,,CG8084,
CG8080,Dmel,FBgn0033373,FBgn0050346,CG8080,CG30346
dap,Dmel,FBgn0010316,"FBgn0010576,FBgn0015920",CG1772,
CNT1,Dmel,FBgn0033371,,CG11778,
Dbp45A,Dmel,FBgn0010220,,CG12759,
CG13741,Dmel,FBgn0033374,FBgn0050346,CG13741,CG30346
Ance-4,Dmel,FBgn0033366,,CG8196,
CG13742,Dmel,FBgn0033372,FBgn0063157,CG13742,
Vang,Dmel,FBgn0015838,FBgn0020780,CG8075,
CG8197,Dmel,FBgn0033369,,CG8197,
CG13743,Dmel,FBgn0033368,,CG13743,
CG8170,Dmel,FBgn0033365,,CG8170,
PPO2,Dmel,FBgn0033367,,CG8193,
CG13744,Dmel,FBgn0033363,,CG13744,
CG8172,Dmel,FBgn0033362,,CG8172,
CG12391,Dmel,FBgn0033581,FBgn0044672,CG12391,
ctp,Dmel,FBgn0011760,"FBgn0015619,FBgn0015650,FBgn0027256,FBgn0027271,FBgn0027293,FBgn0028265,FBgn0028273,FBgn0028298,FBgn0028309,FBgn0028322,FBgn0028337,FBgn0040189,FBgn0066852",CG6998,
Np,Dmel,FBgn0265011,"FBgn0002963,FBgn0085379,FBgn0033360,FBgn0033361",CG34350,"CG8181,CG11824"
san,Dmel,FBgn0024188,FBgn0033626,CG12352,
Cyp4g1,Dmel,FBgn0010019,"FBgn0011757,FBgn0023539,FBgn0044782",CG3972,
Gr47b,Dmel,FBgn0041241,FBgn0050030,CG30030,
Uhg4,Dmel,FBgn0083124,FBgn0259928,CR42451,
bcd,Dmel,FBgn0000166,"FBgn0040059,FBgn0014130,FBgn0014131,FBgn0015909,FBgn0015910,FBgn0015911,FBgn0015912",CG1034,
Mys45A,Dmel,FBgn0033379,FBgn0062194,CG8070,
Chc,Dmel,FBgn0000319,"FBgn0014972,FBgn0028268",CG9012,
Socs44A,Dmel,FBgn0033266,,CG2160,
Sfp70A4,Dmel,FBgn0259970,,CG42480,
tsu,Dmel,FBgn0033378,,CG8781,
CG8078,Dmel,FBgn0033375,FBgn0061679,CG8078,
CG42516,Dmel,FBgn0260390,FBgn0033267,CG42516,
Nup50,Dmel,FBgn0033264,,CG2158,
CG11210,Dmel,FBgn0033259,,CG11210,
