gene_symbol,organism_abbreviation,primary_FBgn,secondary_FBgn,annotation_ID,secondary_annotation_IDs
CtIP,Dmel,FBgn0036991,,CG5872,
capu,Dmel,FBgn0000256,FBgn0031576,CG3399,CG15420
CG7381,Dmel,FBgn0038098,,CG7381,
ACXC,Dmel,FBgn0040508,FBgn0032458,CG5983,
Adgf-B,Dmel,FBgn0036751,,CG5998,
CG7366,Dmel,FBgn0035855,FBgn0044691,CG7366,
viaf,Dmel,FBgn0036237,"FBgn0044799,FBgn0044800",CG18593,
Eig71Ej,Dmel,FBgn0014850,,CG7588,
CG7509,Dmel,FBgn0035575,,CG7509,
CG14042,Dmel,FBgn0260451,"FBgn0031672,FBgn0040280,FBgn0045318,FBgn0063746,FBgn0031671",CG14042,CG14041
CG12730,Dmel,FBgn0029771,FBgn0047186,CG12730,
CG9072,Dmel,FBgn0030614,,CG9072,
CR33797,Dmel,FBgn0053797,,CR33797,CG33797
mir-992,Dmel,FBgn0262334,,CR43041,
CG7794,Dmel,FBgn0038565,FBgn0044684,CG7794,
CG7791,Dmel,FBgn0033038,,CG7791,
CG34447,Dmel,FBgn0085476,"FBgn0031427,FBgn0051684",CG34447,"CG31684,CG9966"
mir-4969,Dmel,FBgn0263521,,CR43506,
mir-929,Dmel,FBgn0262214,,CR42921,
snRNA:U1:95Ca,Dmel,FBgn0004185,"FBgn0003915,FBgn0003918,FBgn0026851,FBgn0051341",CR31341,
Menl-1,Dmel,FBgn0029154,"FBgn0034124,FBgn0050097",CG7964,CG30097
mir-4982,Dmel,FBgn0263522,,CR43507,
snRNA:U6:96Ac,Dmel,FBgn0004190,"FBgn0003455,FBgn0003939,FBgn0003940,FBgn0051539",CR31539,
CG10474,Dmel,FBgn0034427,,CG10474,
CG9471,Dmel,FBgn0037749,,CG9471,
Cyp6t2Psi,Dmel,FBgn0041336,FBgn0051621,CR31621,
mir-133,Dmel,FBgn0262445,"FBgn0067340,FBgn0262304",CR43011,CR33574
CG9663,Dmel,FBgn0031516,,CG9663,
snRNA:U2:34ABa,Dmel,FBgn0004191,"FBgn0003919,FBgn0003921",CR31850,
mir-4972,Dmel,FBgn0263523,,CR43508,
Gr22d,Dmel,FBgn0045498,"FBgn0045493,FBgn0051930",CG31930,
5SrRNA:CR33380,Dmel,FBgn0053380,,CR33380,
5SrRNA:CR33381,Dmel,FBgn0053381,,CR33381,
5SrRNA:CR33383,Dmel,FBgn0053383,,CR33383,
5SrRNA:CR33388,Dmel,FBgn0053388,,CR33388,
5SrRNA:CR33389,Dmel,FBgn0053389,,CR33389,
5SrRNA:CR33398,Dmel,FBgn0053398,,CR33398,
5SrRNA:CR33399,Dmel,FBgn0053399,,CR33399,
CG13021,Dmel,FBgn0029669,"FBgn0061433,FBgn0064988",CG13021,
Or59a,Dmel,FBgn0026384,,CG9820,
5SrRNA:CR33354,Dmel,FBgn0053354,,CR33354,
snRNA:U7,Dmel,FBgn0053504,FBgn0067333,CR33504,
snoRNA:U3:54Ab,Dmel,FBgn0065047,FBgn0053628,CR33628,
Or85d,Dmel,FBgn0037594,,CG11742,
CG13157,Dmel,FBgn0033732,,CG13157,
CG11986,Dmel,FBgn0037656,,CG11986,
axed,Dmel,FBgn0035708,FBgn0027687,CG8398,
CR33629,Dmel,FBgn0053629,,CR33629,CG33629
CG11842,Dmel,FBgn0039629,,CG11842,
snmRNA:204,Dmel,FBgn0065101,FBgn0053657,CR33657,
snmRNA:400,Dmel,FBgn0065095,FBgn0053699,CR33699,
Rac1,Dmel,FBgn0010333,FBgn0014012,CG2248,
snmRNA:765,Dmel,FBgn0065083,FBgn0053789,CR33789,
CR33701,Dmel,FBgn0053701,,CR33701,
snmRNA:157,Dmel,FBgn0065105,FBgn0053707,CR33707,
Prosbeta3,Dmel,FBgn0026380,,CG11981,
snmRNA:838,Dmel,FBgn0065081,FBgn0053793,CR33793,
mir-3643,Dmel,FBgn0263629,"FBgn0262134,FBgn0263524",CR43509,
CG46193,Dmel,FBgn0267905,,CG46193,
l(1)G0193,Dmel,FBgn0027280,"FBgn0029064,FBgn0029984",CG2206,
snoRNA:Psi28S-1936,Dmel,FBgn0082993,,CR34530,
snoRNA:Psi28S-1153,Dmel,FBgn0083006,,CR34531,
snoRNA:Me18S-C1366,Dmel,FBgn0082951,,CR34532,
CG13407,Dmel,FBgn0038931,,CG13407,
Cby,Dmel,FBgn0067317,FBgn0038910,CG13415,
mir-4911,Dmel,FBgn0263525,,CR43510,
CG4038,Dmel,FBgn0011824,,CG4038,
CG31199,Dmel,FBgn0051199,FBgn0038823,CG31199,CG17837
CG13711,Dmel,FBgn0035572,,CG13711,
Gr93a,Dmel,FBgn0041229,FBgn0038905,CG13417,
Gr57a,Dmel,FBgn0041240,FBgn0034544,CG13441,
CG13594,Dmel,FBgn0035041,,CG13594,
CG13590,Dmel,FBgn0035012,,CG13590,
Obp58d,Dmel,FBgn0034770,,CG13519,
CG31019,Dmel,FBgn0051019,,CG31019,
CG15011,Dmel,FBgn0035518,,CG15011,
Nep4,Dmel,FBgn0038818,,CG4058,
CG13603,Dmel,FBgn0039135,,CG13603,
CG13630,Dmel,FBgn0039219,,CG13630,
gek,Dmel,FBgn0023081,"FBgn0010655,FBgn0044829,FBgn0061181",CG4012,
Gr93c,Dmel,FBgn0045469,"FBgn0038907,FBgn0041227,FBgn0051173",CG31173,CG13411
Mo25,Dmel,FBgn0017572,FBgn0010713,CG4083,
CG2652,Dmel,FBgn0025838,,CG2652,
CG2681,Dmel,FBgn0024997,,CG2681,
CG31245,Dmel,FBgn0051245,"FBgn0038698,FBgn0061450",CG31245,CG3575
Gr93d,Dmel,FBgn0045468,"FBgn0041226,FBgn0051335",CG31335,
mir-4971,Dmel,FBgn0263526,,CR43511,
CG13998,Dmel,FBgn0040949,,CG13998,
CG13972,Dmel,FBgn0039522,,CG13972,
Pif2,Dmel,FBgn0046873,"FBgn0045982,FBgn0046005,FBgn0046023,FBgn0046028,FBgn0046039,FBgn0051483,FBgn0063706",CG31483,
CG15498,Dmel,FBgn0038892,,CG15498,
