sn,pl3c
683,FBgn0262621
684,FBgn0036398
685,FBgn0019938
686,FBgn0035025
687,FBgn0264833
688,FBgn0264832
689,FBgn0264831
690,FBgn0264830
691,FBgn0264837
692,FBgn0035026
693,FBgn0264835
694,FBgn0264834
695,FBgn0039946
696,FBgn0030215
697,FBgn0035027
698,FBgn0035478
699,FBgn0267339
700,FBgn0051961
701,FBgn0051960
702,FBgn0004187
703,FBgn0004186
704,FBgn0267337
705,FBgn0267336
706,FBgn0004183
707,FBgn0267330
708,FBgn0004181
709,FBgn0265786
710,FBgn0265787
711,FBgn0265784
712,FBgn0265785
713,FBgn0267143
714,FBgn0261522
715,FBgn0265788
716,FBgn0265789
717,FBgn0261523
718,FBgn0021967
719,FBgn0032843
720,FBgn0267271
721,FBgn0260746
722,FBgn0267272
723,FBgn0264785
724,FBgn0022774
725,FBgn0262378
726,FBgn0262379
727,FBgn0030217
728,FBgn0267252
729,FBgn0267253
730,FBgn0262370
731,FBgn0262371
732,FBgn0267256
733,FBgn0262377
734,FBgn0262374
735,FBgn0267275
736,FBgn0053998
737,FBgn0266859
738,FBgn0023506
739,FBgn0023507
740,FBgn0023508
741,FBgn0053995
742,FBgn0262357
743,FBgn0053993
744,FBgn0035851
745,FBgn0035850
746,FBgn0265876
747,FBgn0265877
748,FBgn0267141
749,FBgn0035854
750,FBgn0035857
751,FBgn0035856
752,FBgn0035859
753,FBgn0035858
754,FBgn0262722
755,FBgn0265878
756,FBgn0265879
757,FBgn0266854
758,FBgn0028622
759,FBgn0266853
760,FBgn0033610
761,FBgn0032490
762,FBgn0032491
763,FBgn0032492
764,FBgn0032493
765,FBgn0032494
766,FBgn0261807
767,FBgn0032499
768,FBgn0261806
769,FBgn0001247
770,FBgn0053194
771,FBgn0053196
772,FBgn0033164
773,FBgn0031430
774,FBgn0053191
775,FBgn0053192
776,FBgn0053193
777,FBgn0015039
778,FBgn0053198
779,FBgn0053199
780,FBgn0034509
781,FBgn0261706
782,FBgn0034739
783,FBgn0005638
784,FBgn0005636
785,FBgn0052826
786,FBgn0065084
787,FBgn0052823
788,FBgn0005633
789,FBgn0052821
790,FBgn0005631
791,FBgn0003060
792,FBgn0259927
793,FBgn0266577
794,FBgn0003065
795,FBgn0035879
796,FBgn0003067
797,FBgn0259922
798,FBgn0015038
799,FBgn0003068
800,FBgn0035878
801,FBgn0265447
802,FBgn0083988
803,FBgn0029987
804,FBgn0037008
805,FBgn0035877
806,FBgn0266572
807,FBgn0053448
808,FBgn0053449
809,FBgn0053446
810,FBgn0083968
811,FBgn0267061
812,FBgn0053333
813,FBgn0046776
814,FBgn0265818
815,FBgn0053440
816,FBgn0260960
817,FBgn0085249
818,FBgn0040777
819,FBgn0260962
820,FBgn0051612
821,FBgn0262477
822,FBgn0000464
823,FBgn0028331
824,FBgn0028336
825,FBgn0034968
826,FBgn0261553
827,FBgn0267929
828,FBgn0261550
829,FBgn0261004
830,FBgn0261555
831,FBgn0261554
832,FBgn0029573
833,FBgn0267921
834,FBgn0267922
835,FBgn0267923
836,FBgn0267924
837,FBgn0028864
838,FBgn0267926
839,FBgn0267927
840,FBgn0267063
841,FBgn0028862
842,FBgn0259705
843,FBgn0034157
844,FBgn0028647
845,FBgn0038467
846,FBgn0038466
847,FBgn0035145
848,FBgn0035144
849,FBgn0038463
850,FBgn0038462
851,FBgn0038461
852,FBgn0084001
853,FBgn0285940
854,FBgn0085397
855,FBgn0038469
856,FBgn0038468
857,FBgn0024897
858,FBgn0085464
859,FBgn0267062
860,FBgn0067779
861,FBgn0036708
862,FBgn0085462
863,FBgn0263851
864,FBgn0034438
865,FBgn0034439
866,FBgn0267148
867,FBgn0031914
868,FBgn0034435
869,FBgn0034436
870,FBgn0034437
871,FBgn0034430
872,FBgn0034432
873,FBgn0034433
874,FBgn0039503
875,FBgn0262020
876,FBgn0038725
877,FBgn0017581
878,FBgn0038727
879,FBgn0038720
880,FBgn0038721
881,FBgn0038722
882,FBgn0038723
883,FBgn0035617
884,FBgn0039500
885,FBgn0052319
886,FBgn0052318
887,FBgn0036948
888,FBgn0036949
889,FBgn0019637
890,FBgn0030538
891,FBgn0037172
892,FBgn0036945
893,FBgn0019985
894,FBgn0052313
895,FBgn0052312
896,FBgn0267064
897,FBgn0063670
898,FBgn0010808
899,FBgn0036702
900,FBgn0010803
901,FBgn0031550
902,FBgn0039504
903,FBgn0263774
904,FBgn0031622
905,FBgn0031623
906,FBgn0031620
907,FBgn0031621
908,FBgn0031626
909,FBgn0031627
910,FBgn0262476
911,FBgn0031628
912,FBgn0035610
913,FBgn0032023
914,FBgn0267067
915,FBgn0032476
916,FBgn0038095
917,FBgn0038092
918,FBgn0038090
919,FBgn0263778
920,FBgn0002856
921,FBgn0002855
922,FBgn0039354
923,FBgn0038098
924,FBgn0038099
925,FBgn0265272
926,FBgn0031323
927,FBgn0265270
928,FBgn0039355
929,FBgn0265276
930,FBgn0265274
931,FBgn0031450
932,FBgn0032472
933,FBgn0267066
934,FBgn0031321
935,FBgn0262687
936,FBgn0264002
937,FBgn0004842
938,FBgn0264000
939,FBgn0264001
940,FBgn0264006
941,FBgn0032470
942,FBgn0085753
943,FBgn0264005
944,FBgn0263855
945,FBgn0031327
946,FBgn0262685
947,FBgn0040385
948,FBgn0040384
949,FBgn0036031
950,FBgn0034137
951,FBgn0040383
952,FBgn0040382
953,FBgn0051754
954,FBgn0051207
955,FBgn0051204
956,FBgn0051205
957,FBgn0040389
958,FBgn0040388
959,FBgn0051752
960,FBgn0051201
961,FBgn0037163
962,FBgn0037162
963,FBgn0026592
964,FBgn0026593
965,FBgn0037167
966,FBgn0030398
967,FBgn0037165
968,FBgn0026597
969,FBgn0026598
970,FBgn0030394
971,FBgn0037169
972,FBgn0030396
973,FBgn0030391
974,FBgn0030390
975,FBgn0025865
976,FBgn0025864
977,FBgn0037176
978,FBgn0025866
979,FBgn0037536
980,FBgn0033005
981,FBgn0016983
982,FBgn0016984
983,FBgn0036118
984,FBgn0033842
985,FBgn0036527
986,FBgn0033844
987,FBgn0033845
988,FBgn0033846
989,FBgn0263529
990,FBgn0039415
991,FBgn0036520
992,FBgn0266212
993,FBgn0039411
994,FBgn0039413
995,FBgn0266243
996,FBgn0030492
997,FBgn0266240
998,FBgn0030321
999,FBgn0051716
1000,FBgn0037114
1001,FBgn0265661
1002,FBgn0265660
1003,FBgn0265663
1004,FBgn0037115
1005,FBgn0265665
1006,FBgn0265664
1007,FBgn0265667
1008,FBgn0265666
1009,FBgn0265669
1010,FBgn0265668
1011,FBgn0037037
1012,FBgn0037709
1013,FBgn0037708
1014,FBgn0037036
1015,FBgn0037446
1016,FBgn0037031
1017,FBgn0037447
1018,FBgn0037030
1019,FBgn0015034
1020,FBgn0030328
1021,FBgn0023535
1022,FBgn0283637
1023,FBgn0036015
1024,FBgn0037449
1025,FBgn0283638
1026,FBgn0283639
1027,FBgn0037179
1028,FBgn0031141
1029,FBgn0004510
1030,FBgn0004511
1031,FBgn0004512
1032,FBgn0004513
1033,FBgn0004514
1034,FBgn0004047
1035,FBgn0004516
1036,FBgn0004045
1037,FBgn0010294
1038,FBgn0034643
1039,FBgn0004049
1040,FBgn0015247
1041,FBgn0263339
1042,FBgn0263338
1043,FBgn0263849
1044,FBgn0263848
1045,FBgn0050159
1046,FBgn0050158
1047,FBgn0050404
1048,FBgn0263331
1049,FBgn0263330
1050,FBgn0050157
1051,FBgn0050156
1052,FBgn0263335
1053,FBgn0263334
1054,FBgn0263337
1055,FBgn0263336
1056,FBgn0003890
1057,FBgn0003891
1058,FBgn0003892
1059,FBgn0042102
1060,FBgn0003896
1061,FBgn0021796
1062,FBgn0011230
1063,FBgn0011589
1064,FBgn0010750
1065,FBgn0033751
1066,FBgn0053837
1067,FBgn0053836
1068,FBgn0053835
1069,FBgn0035449
1070,FBgn0053833
1071,FBgn0053832
1072,FBgn0053831
1073,FBgn0053830
1074,FBgn0035443
1075,FBgn0035440
1076,FBgn0038158
1077,FBgn0035444
1078,FBgn0035445
1079,FBgn0011981
1080,FBgn0011980
1081,FBgn0011983
1082,FBgn0011982
1083,FBgn0011985
1084,FBgn0011984
1085,FBgn0011987
1086,FBgn0011986
1087,FBgn0020626
