"FBgn","ModID"
"FBgn0037447","turquoise"
"FBgn0037030","blue"
"FBgn0015034","turquoise"
"FBgn0030328","black"
"FBgn0023535","grey"
"FBgn0283637","red"
"FBgn0036015","red"
"FBgn0037179","brown"
"FBgn0031141","brown"
"FBgn0004510","black"
"FBgn0004511","blue"
"FBgn0004512","turquoise"
"FBgn0004513","blue"
"FBgn0004514","blue"
"FBgn0004047","turquoise"
"FBgn0004516","blue"
"FBgn0004045","turquoise"
"FBgn0034643","grey"
"FBgn0004049","lightcyan"
"FBgn0015247","red"
"FBgn0050159","black"
"FBgn0050158","blue"
"FBgn0050404","grey"
"FBgn0263330","turquoise"
"FBgn0050157","turquoise"
"FBgn0050156","red"
"FBgn0263336","turquoise"
"FBgn0003890","turquoise"
"FBgn0003891","steelblue"
"FBgn0003892","turquoise"
"FBgn0042102","brown"
"FBgn0003896","turquoise"
"FBgn0021796","turquoise"
"FBgn0011230","steelblue"
"FBgn0011589","blue"
"FBgn0010750","black"
"FBgn0033751","blue"
"FBgn0035449","cyan"
"FBgn0053831","black"
"FBgn0035443","black"
"FBgn0035440","black"
"FBgn0035444","turquoise"
"FBgn0035445","blue"
"FBgn0020626","cyan"
"FBgn0020620","grey"
"FBgn0020621","darkgreen"
"FBgn0020622","black"
"FBgn0266310","black"
"FBgn0028430","turquoise"
"FBgn0266312","blue"
"FBgn0266313","grey"
"FBgn0266315","turquoise"
"FBgn0266316","turquoise"
"FBgn0266319","black"
"FBgn0033668","red"
"FBgn0033669","grey"
"FBgn0266869","grey"
"FBgn0001125","turquoise"
"FBgn0040843","turquoise"
"FBgn0032399","grey"
"FBgn0003046","cyan"
"FBgn0032821","darkgreen"
"FBgn0032820","turquoise"
"FBgn0032395","blue"
"FBgn0032822","black"
"FBgn0032393","grey"
"FBgn0032824","turquoise"
"FBgn0032391","pink"
"FBgn0032390","black"
"FBgn0003044","black"
"FBgn0035626","cyan"
"FBgn0035627","black"
"FBgn0035624","black"
"FBgn0035625","turquoise"
"FBgn0035622","black"
"FBgn0035623","turquoise"
"FBgn0035620","brown"
"FBgn0003042","salmon"
"FBgn0261381","lightgreen"
"FBgn0003517","skyblue"
"FBgn0013720","black"
"FBgn0013726","black"
"FBgn0013725","blue"
"FBgn0034154","blue"
"FBgn0002022","grey"
"FBgn0002023","turquoise"
"FBgn0261437","black"
"FBgn0002021","lightgreen"
"FBgn0039698","lightgreen"
"FBgn0052121","turquoise"
"FBgn0032287","turquoise"
"FBgn0036550","turquoise"
"FBgn0028292","black"
"FBgn0039259","greenyellow"
"FBgn0032538","turquoise"
"FBgn0032283","turquoise"
"FBgn0039252","lightgreen"
"FBgn0039251","black"
"FBgn0039257","turquoise"
"FBgn0032536","turquoise"
"FBgn0032535","brown"
"FBgn0039254","red"
"FBgn0262524","greenyellow"
"FBgn0029746","red"
"FBgn0265428","turquoise"
"FBgn0265068","brown"
"FBgn0260011","turquoise"
"FBgn0265066","turquoise"
"FBgn0035298","turquoise"
"FBgn0263586","turquoise"
"FBgn0264253","brown"
"FBgn0039449","black"
"FBgn0053462","turquoise"
"FBgn0030258","turquoise"
"FBgn0037950","blue"
"FBgn0037955","grey"
"FBgn0037958","black"
"FBgn0085489","turquoise"
"FBgn0264562","darkgreen"
"FBgn0002948","black"
"FBgn0259712","blue"
"FBgn0259713","red"
"FBgn0259711","black"
"FBgn0259716","turquoise"
"FBgn0259717","turquoise"
"FBgn0259714","turquoise"
"FBgn0259715","turquoise"
"FBgn0003300","turquoise"
"FBgn0039623","grey"
"FBgn0003302","tan"
"FBgn0039621","blue"
"FBgn0039626","black"
"FBgn0039627","black"
"FBgn0039625","turquoise"
"FBgn0262579","turquoise"
"FBgn0025678","lightyellow"
"FBgn0050046","turquoise"
"FBgn0001145","turquoise"
"FBgn0032924","black"
"FBgn0010504","brown"
"FBgn0030336","tan"
"FBgn0044419","black"
"FBgn0036024","brown"
"FBgn0038815","darkgrey"
"FBgn0016641","darkgrey"
"FBgn0263080","brown"
"FBgn0267091","blue"
