"FBgn","ModID"
"FBgn0086408","salmon"
"FBgn0053508","turquoise"
"FBgn0033691","cyan"
"FBgn0035519","turquoise"
"FBgn0033984","pink"
"FBgn0026761","brown"
"FBgn0015790","brown"
"FBgn0015793","red"
"FBgn0051342","pink"
"FBgn0262166","tan"
"FBgn0262169","tan"
"FBgn0035517","brown"
"FBgn0013799","royalblue"
"FBgn0266993","darkgrey"
"FBgn0035173","black"
"FBgn0053269","turquoise"
"FBgn0035589","brown"
"FBgn0029689","darkturquoise"
"FBgn0029687","pink"
"FBgn0035726","cyan"
"FBgn0026375","darkgrey"
"FBgn0051076","brown"
"FBgn0032597","lightyellow"
"FBgn0030640","cyan"
"FBgn0037616","darkgreen"
"FBgn0037852","lightyellow"
"FBgn0264841","tan"
"FBgn0014857","darkred"
"FBgn0031494","darkturquoise"
"FBgn0261618","darkgreen"
"FBgn0029118","brown"
"FBgn0001169","black"
"FBgn0004407","blue"
"FBgn0001296","darkturquoise"
"FBgn0029594","lightyellow"
"FBgn0032643","greenyellow"
"FBgn0036476","darkgreen"
"FBgn0028743","darkgrey"
"FBgn0063392","royalblue"
"FBgn0003475","darkgrey"
"FBgn0053527","blue"
"FBgn0016977","darkgreen"
"FBgn0011259","darkgrey"
"FBgn0016754","red"
"FBgn0266441","black"
"FBgn0034087","black"
"FBgn0034081","black"
"FBgn0038647","brown"
"FBgn0036820","cyan"
"FBgn0036773","royalblue"
"FBgn0040608","turquoise"
"FBgn0284249","royalblue"
"FBgn0002914","pink"
"FBgn0047038","darkred"
"FBgn0085342","darkgrey"
"FBgn0004876","black"
"FBgn0023215","black"
"FBgn0036488","cyan"
"FBgn0036483","pink"
"FBgn0032256","pink"
"FBgn0040375","red"
"FBgn0038889","lightcyan"
"FBgn0031284","tan"
"FBgn0052000","blue"
"FBgn0027492","royalblue"
"FBgn0016696","darkgrey"
"FBgn0261797","blue"
"FBgn0030089","pink"
"FBgn0267651","red"
"FBgn0016691","cyan"
"FBgn0039709","salmon"
"FBgn0031758","cyan"
"FBgn0030883","blue"
"FBgn0029709","turquoise"
"FBgn0051118","red"
"FBgn0023516","cyan"
"FBgn0001105","tan"
"FBgn0037689","black"
"FBgn0021765","lightyellow"
