"feature","id","pval","qval","tname"
"gene","MSTRG.13078",0.000552447004817491,0.0257584970244083,"FBtr0340293"
"gene","MSTRG.895",0.000555285080876322,0.0257584970244083,"MSTRG.895.3"
"gene","MSTRG.4794",0.000573289307170266,0.0264334720306097,"FBtr0086540"
"gene","MSTRG.10222",0.000580089278825024,0.0265868463480643,"FBtr0083592"
"gene","MSTRG.4968",0.000585402547731873,0.0266706613115461,"FBtr0071532"
"gene","MSTRG.7226",0.000594877145177364,0.0269419507052517,"FBtr0331532"
"gene","MSTRG.3103",0.000616873252455297,0.0275228932991948,"FBtr0088943"
"gene","MSTRG.3661",0.000617939081078767,0.0275228932991948,"FBtr0088136"
"gene","MSTRG.665",0.000618491984251568,0.0275228932991948,"MSTRG.665.1"
"gene","MSTRG.9363",0.000646393638592424,0.0282121392770618,"FBtr0082339"
"gene","MSTRG.11253",0.000647050143532724,0.0282121392770618,"FBtr0085150"
"gene","MSTRG.3642",0.000650463925310429,0.0282121392770618,"FBtr0088124"
"gene","MSTRG.10983",0.000652207544760808,0.0282121392770618,"FBtr0084708"
"gene","MSTRG.1611",0.000652410328199626,0.0282121392770618,"FBtr0080326"
"gene","MSTRG.4728",0.000665694700874964,0.0282861306184145,"FBtr0086639"
"gene","MSTRG.840",0.000665948575253816,0.0282861306184145,"FBtr0079253"
"gene","MSTRG.8173",0.000667312659833108,0.0282861306184145,"FBtr0301600"
"gene","MSTRG.1848",0.000668903794347142,0.0282861306184145,"FBtr0080603"
"gene","MSTRG.4164",0.00070065751305215,0.0294661132137426,"FBtr0339997"
"gene","MSTRG.7774",0.000719991835891332,0.0300647938475711,"FBtr0345383"
"gene","MSTRG.7171",0.000723838680601663,0.0300647938475711,"FBtr0075904"
"gene","MSTRG.13627",0.000726677144212262,0.0300647938475711,"FBtr0074363"
"gene","MSTRG.3628",0.000750256737196198,0.0307032147556483,"FBtr0331940"
"gene","MSTRG.12588",0.000752884140709176,0.0307032147556483,"FBtr0070914"
"gene","MSTRG.2989",0.000754142196767948,0.0307032147556483,"FBtr0086177"
"gene","MSTRG.3080",0.00076049486331875,0.0307980300732366,"FBtr0088905"
"gene","MSTRG.10472",0.000772044240682224,0.0311011927272723,"FBtr0083966"
"gene","MSTRG.10752",0.000781491492727771,0.0313169418080542,"FBtr0084374"
"gene","MSTRG.10715",0.000793683447305904,0.0316398599254135,"FBtr0084338"
"gene","MSTRG.4452",0.000802150815477631,0.031811721977543,"FBtr0086981"
"gene","MSTRG.7162",0.000809516372226926,0.0319383418197159,"FBtr0075936"
"gene","MSTRG.7988",0.000818268912074593,0.0321181038616356,"FBtr0074840"
"gene","MSTRG.2302",0.0008329715262263,0.0325283880700822,"MSTRG.2302.1"
"gene","MSTRG.10074",0.000849717076039092,0.0327201223625282,"FBtr0083373"
"gene","MSTRG.13676",0.000855572690945716,0.0327201223625282,"FBtr0113478"
"gene","MSTRG.12827",0.000859404247088413,0.0327201223625282,"FBtr0340356"
"gene","MSTRG.4252",0.000862626190968885,0.0327201223625282,"FBtr0087290"
"gene","MSTRG.3386",0.000864731491270643,0.0327201223625282,"FBtr0339392"
"gene","MSTRG.8830",0.000864937837519175,0.0327201223625282,"FBtr0081627"
"gene","MSTRG.675",0.000868534976659285,0.0327201223625282,"FBtr0079049"
"gene","MSTRG.7777",0.00087385884603286,0.0327201223625282,"FBtr0075054"
"gene","MSTRG.9939",0.000876355511408189,0.0327201223625282,"FBtr0083191"
"gene","MSTRG.3650",0.00088862575156945,0.0330171917597697,"FBtr0088153"
"gene","MSTRG.3003",0.000896276614666514,0.03314058554907,"FBtr0089032"
"gene","MSTRG.10343",0.000904693687375113,0.0332909878998515,"FBtr0083804"
"gene","MSTRG.6453",0.000912686444513922,0.0334244117048304,"FBtr0076934"
"gene","MSTRG.10099",0.000938414444816904,0.0342029721934694,"FBtr0083405"
"gene","MSTRG.13418",0.00095080715788165,0.0344904169972803,"FBtr0073966"
"gene","MSTRG.6990",0.000971376966431792,0.0350703740616459,"FBtr0076103"
"gene","MSTRG.5140",0.000986712023309355,0.0354567785277456,"FBtr0071774"
"gene","MSTRG.8930",0.000995572933081723,0.0356080150925585,"FBtr0081757"
"gene","MSTRG.11101",0.001013590818153,0.0360838331262467,"FBtr0336803"
"gene","MSTRG.3593",0.00102602933461338,0.0362725545257203,"FBtr0088197"
"gene","MSTRG.2291",0.00102837004599965,0.0362725545257203,"FBtr0299519"
"gene","MSTRG.11744",0.00105458337199038,0.0369252838883865,"FBtr0085867"
"gene","MSTRG.5215",0.00105652432343306,0.0369252838883865,"FBtr0346948"
"gene","MSTRG.10726",0.0010704920462884,0.0372433914649608,"FBtr0084361"
"gene","MSTRG.4175",0.00108332256854626,0.0373661029883064,"FBtr0087399"
"gene","MSTRG.10867",0.00108378297144029,0.0373661029883064,"FBtr0084582"
"gene","MSTRG.11318",0.00111396222940652,0.0379325926931569,"FBtr0085200"
"gene","MSTRG.3907",0.00111601734917055,0.0379325926931569,"FBtr0087745"
"gene","MSTRG.216",0.00112061664022733,0.0379325926931569,"FBtr0078016"
"gene","MSTRG.1020",0.00112575606567011,0.0379325926931569,"FBtr0079488"
"gene","MSTRG.854",0.00112691681411203,0.0379325926931569,"FBtr0079272"
"gene","MSTRG.8831",0.00113229474193655,0.0379325926931569,"FBtr0081628"
"gene","MSTRG.8848",0.0011349051119327,0.0379325926931569,"FBtr0346967"
"gene","MSTRG.12510",0.00114720441010585,0.0381769676302182,"FBtr0070861"
"gene","MSTRG.13930",0.00115768742712941,0.0383590457456644,"FBtr0074733"
"gene","MSTRG.5884",0.0011774132791893,0.0387095175485399,"FBtr0332672"
"gene","MSTRG.6430",0.00118083458209883,0.0387095175485399,"FBtr0076960"
"gene","MSTRG.11542",0.00118443319418549,0.0387095175485399,"FBtr0085502"
"gene","MSTRG.9161",0.0011884944635363,0.0387095175485399,"FBtr0082068"
"gene","MSTRG.12175",0.00119712009822526,0.0388252425076954,"FBtr0070388"
"gene","MSTRG.11644",0.00121036187534662,0.0390846826757606,"FBtr0085679"
"gene","MSTRG.3627",0.00121533243752692,0.0390846826757606,"FBtr0088121"
"gene","MSTRG.4581",0.00122143055884427,0.0391164414116906,"FBtr0089559"
"gene","MSTRG.9372",0.00124593111113325,0.0397348196858911,"FBtr0335221"
"gene","MSTRG.4461",0.0012618409934253,0.0398009273790986,"FBtr0086987"
"gene","MSTRG.4338",0.00126850019938562,0.0398009273790986,"FBtr0087145"
"gene","MSTRG.6110",0.00126867280960075,0.0398009273790986,"FBtr0073159"
"gene","MSTRG.4709",0.00127214137931397,0.0398009273790986,"FBtr0340392"
"gene","MSTRG.3302",0.00127423665012272,0.0398009273790986,"MSTRG.3302.1"
"gene","MSTRG.2130",0.00128490481287746,0.0398009273790986,"FBtr0081031"
"gene","MSTRG.7010",0.00128949040400106,0.0398009273790986,"FBtr0076131"
"gene","MSTRG.5208",0.00128960412725587,0.0398009273790986,"FBtr0071862"
"gene","MSTRG.4007",0.00130563424780017,0.0400681960541498,"FBtr0087594"
"gene","MSTRG.5136",0.00130873386641461,0.0400681960541498,"FBtr0071785"
"gene","MSTRG.12445",0.00131678653618805,0.0400848563729416,"FBtr0346264"
"gene","MSTRG.3014",0.00131975226103753,0.0400848563729416,"MSTRG.3014.1"
"gene","MSTRG.7249",0.00133796723379587,0.040477475128354,"FBtr0075801"
"gene","MSTRG.1638",0.00135380899749005,0.0405789977020533,"FBtr0100125"
"gene","MSTRG.303",0.00135519458458622,0.0405789977020533,"FBtr0347155"
"gene","MSTRG.5846",0.00136532050121219,0.0405789977020533,"FBtr0072761"
"gene","MSTRG.9269",0.00136779979246948,0.0405789977020533,"FBtr0082181"
"gene","MSTRG.240",0.00136783138321528,0.0405789977020533,"FBtr0077986"
"gene","MSTRG.7573",0.00137576188519062,0.0406566852094556,"FBtr0075352"
"gene","MSTRG.6254",0.00142342237663751,0.0419033648876287,"FBtr0304989"
"gene","MSTRG.4434",0.00145856897283447,0.042773513096073,"FBtr0086967"
"gene","MSTRG.11547",0.00147391058715673,0.0429104458235317,"FBtr0085512"
"gene","MSTRG.3179",0.00147912192914823,0.0429104458235317,"FBtr0300658"
"gene","MSTRG.1583",0.00148227850341431,0.0429104458235317,"FBtr0344127"
"gene","MSTRG.3636",0.00149100589452944,0.0429104458235317,"FBtr0088160"
"gene","MSTRG.6330",0.00149126973988234,0.0429104458235317,"FBtr0077120"
"gene","MSTRG.3544",0.00151167089877735,0.0433345657649507,"FBtr0088256"
"gene","MSTRG.11158",0.00152143571160801,0.0434517497636109,"FBtr0084958"
"gene","MSTRG.5059",0.00155098370565865,0.0439686058151983,"FBtr0071690"
"gene","MSTRG.3131",0.00155102215444258,0.0439686058151983,"FBtr0088889"
"gene","MSTRG.6914",0.0015717455514983,0.0443880401986896,"FBtr0076196"
"gene","MSTRG.11239",0.00157741663627431,0.0443880401986896,"FBtr0085085"
"gene","MSTRG.3640",0.00158548278116599,0.0444434221801001,"FBtr0088123"
"gene","MSTRG.9983",0.00159141110626915,0.0444434221801001,"FBtr0083251"
"gene","MSTRG.5786",0.00159807629412279,0.0444434221801001,"FBtr0072679"
"gene","MSTRG.9909",0.00160420908715819,0.0444434221801001,"FBtr0334152"
"gene","MSTRG.541",0.00160841755211494,0.0444434221801001,"FBtr0339575"
"gene","MSTRG.5438",0.00161735008414121,0.0445294875684059,"FBtr0072188"
"gene","MSTRG.12552",0.00162749905178816,0.0445857515797891,"MSTRG.12552.3"
"gene","MSTRG.11724",0.00163104395640723,0.0445857515797891,"FBtr0085788"
"gene","MSTRG.12926",0.0016467765364041,0.0448556142691709,"FBtr0071391"
"gene","MSTRG.3359",0.00166306683896278,0.0451387006575217,"FBtr0300293"
"gene","MSTRG.10086",0.00167934131648884,0.0454193584325285,"FBtr0083400"
"gene","MSTRG.10852",0.00169348849673634,0.0456407075845773,"FBtr0084590"
"gene","MSTRG.3505",0.00171536192519439,0.0460680006155715,"FBtr0088349"
"gene","MSTRG.4312",0.00173085084560443,0.0462449310300745,"MSTRG.4312.1"
"gene","MSTRG.1620",0.00173913027055406,0.0462449310300745,"FBtr0302854"
"gene","MSTRG.1931",0.00174984423727653,0.0462449310300745,"FBtr0080754"
"gene","MSTRG.5021",0.00175510655385369,0.0462449310300745,"FBtr0071615"
"gene","MSTRG.7970",0.00176073596105231,0.0462449310300745,"FBtr0074820"
"gene","MSTRG.4616",0.00176396270986579,0.0462449310300745,"FBtr0086807"
"gene","MSTRG.2356",0.00176424351460436,0.0462449310300745,"FBtr0081348"
"gene","MSTRG.3078",0.00178222183969334,0.0465567438942418,"FBtr0088957"
"gene","MSTRG.6878",0.00179896885951059,0.0466688215591787,"FBtr0076292"
"gene","MSTRG.4289",0.00181312866941252,0.0466688215591787,"FBtr0344527"
"gene","MSTRG.10516",0.00181670092278352,0.0466688215591787,"FBtr0330049"
"gene","MSTRG.810",0.00182766260918998,0.0466688215591787,"FBtr0343129"
"gene","MSTRG.1208",0.00183152939276976,0.0466688215591787,"FBtr0079782"
"gene","MSTRG.1785",0.0018338289431381,0.0466688215591787,"FBtr0342905"
"gene","MSTRG.8631",0.00183967863304624,0.0466688215591787,"FBtr0078789"
"gene","MSTRG.4612",0.00184488825307938,0.0466688215591787,"FBtr0344762"
"gene","MSTRG.12236",0.00184600186942041,0.0466688215591787,"FBtr0070501"
"gene","MSTRG.9827",0.00184971486872765,0.0466688215591787,"FBtr0083000"
"gene","MSTRG.6353",0.00185358266971392,0.0466688215591787,"FBtr0091475"
"gene","MSTRG.3002",0.00187336830719298,0.0470123312237871,"FBtr0089030"
"gene","MSTRG.7798",0.001888496436799,0.0472370971479071,"FBtr0075076"
"gene","MSTRG.4279",0.00190186298599948,0.0474164797877525,"FBtr0087255"
"gene","MSTRG.11934",0.00192290220832547,0.0477853685146856,"FBtr0112921"
"gene","MSTRG.13577",0.00194028161940829,0.04797423440102,"FBtr0074261"
"gene","MSTRG.9540",0.00195495379745037,0.04797423440102,"FBtr0082604"
"gene","MSTRG.3769",0.00195838845132035,0.04797423440102,"MSTRG.3769.2"
"gene","MSTRG.13679",0.00196364783771796,0.04797423440102,"FBtr0074387"
"gene","MSTRG.3976",0.00196651293847816,0.04797423440102,"FBtr0303819"
"gene","MSTRG.4421",0.00197089626096547,0.04797423440102,"FBtr0112384"
"gene","MSTRG.5428",0.00198319257198343,0.04797423440102,"FBtr0072162"
"gene","MSTRG.2445",0.00198787499429987,0.04797423440102,"MSTRG.2445.1"
"gene","MSTRG.4332",0.00199111804195218,0.04797423440102,"FBtr0306048"
"gene","MSTRG.10574",0.00199318089097522,0.04797423440102,"MSTRG.10574.1"
"gene","MSTRG.5928",0.00208241475180193,0.0499648981513855,"FBtr0072903"
