GO_cat,aging
det_adul_life,FBgn0261560
det_adul_life,FBgn0262169
det_adul_life,FBgn0262368
det_adul_life,FBgn0262866
det_adul_life,FBgn0262975
det_adul_life,FBgn0263316
det_adul_life,FBgn0263397
det_adul_life,FBgn0263490
det_adul_life,FBgn0266557
det_adul_life,FBgn0283472
det_adul_life,FBgn0283499
det_adul_life,FBgn0284245
IR_sig_path,FBgn0001257
IR_sig_path,FBgn0003256
IR_sig_path,FBgn0003371
IR_sig_path,FBgn0004177
IR_sig_path,FBgn0005198
IR_sig_path,FBgn0010269
IR_sig_path,FBgn0010379
IR_sig_path,FBgn0010583
IR_sig_path,FBgn0015279
IR_sig_path,FBgn0015509
IR_sig_path,FBgn0020386
IR_sig_path,FBgn0020622
IR_sig_path,FBgn0021796
IR_sig_path,FBgn0023001
IR_sig_path,FBgn0024248
IR_sig_path,FBgn0025637
IR_sig_path,FBgn0025638
IR_sig_path,FBgn0026317
IR_sig_path,FBgn0026379
IR_sig_path,FBgn0027052
IR_sig_path,FBgn0027492
IR_sig_path,FBgn0028717
IR_sig_path,FBgn0028734
IR_sig_path,FBgn0028978
IR_sig_path,FBgn0029840
IR_sig_path,FBgn0030802
IR_sig_path,FBgn0031006
IR_sig_path,FBgn0033935
IR_sig_path,FBgn0035626
IR_sig_path,FBgn0036046
IR_sig_path,FBgn0036690
IR_sig_path,FBgn0037248
IR_sig_path,FBgn0038197
IR_sig_path,FBgn0038279
IR_sig_path,FBgn0039858
IR_sig_path,FBgn0041191
IR_sig_path,FBgn0041210
IR_sig_path,FBgn0042693
IR_sig_path,FBgn0044046
IR_sig_path,FBgn0044047
IR_sig_path,FBgn0044048
IR_sig_path,FBgn0044049
IR_sig_path,FBgn0044050
IR_sig_path,FBgn0044051
IR_sig_path,FBgn0052082
IR_sig_path,FBgn0086371
IR_sig_path,FBgn0086779
IR_sig_path,FBgn0260439
IR_sig_path,FBgn0262103
IR_sig_path,FBgn0262373
IR_sig_path,FBgn0262458
IR_sig_path,FBgn0262656
IR_sig_path,FBgn0263593
IR_sig_path,FBgn0264075
IR_sig_path,FBgn0264691
IR_sig_path,FBgn0266284
IR_sig_path,FBgn0266411
IR_sig_path,FBgn0267487
IR_sig_path,FBgn0283468
IR_sig_path,FBgn0283472
IR_sig_path,FBgn0283499
IR_sig_path,FBgn0286070
lip_met_proc,FBgn0000057
lip_met_proc,FBgn0000221
lip_met_proc,FBgn0000370
lip_met_proc,FBgn0000406
lip_met_proc,FBgn0000416
lip_met_proc,FBgn0000449
lip_met_proc,FBgn0000527
lip_met_proc,FBgn0000536
lip_met_proc,FBgn0000543
lip_met_proc,FBgn0000568
lip_met_proc,FBgn0001128
lip_met_proc,FBgn0001404
lip_met_proc,FBgn0001941
lip_met_proc,FBgn0002524
lip_met_proc,FBgn0002937
lip_met_proc,FBgn0003034
lip_met_proc,FBgn0003218
lip_met_proc,FBgn0003292
lip_met_proc,FBgn0003308
lip_met_proc,FBgn0003312
lip_met_proc,FBgn0003388
lip_met_proc,FBgn0003416
lip_met_proc,FBgn0003486
lip_met_proc,FBgn0003656
lip_met_proc,FBgn0003964
lip_met_proc,FBgn0004373
lip_met_proc,FBgn0004552
lip_met_proc,FBgn0004611
lip_met_proc,FBgn0004797
lip_met_proc,FBgn0004914
lip_met_proc,FBgn0004959
lip_met_proc,FBgn0010052
lip_met_proc,FBgn0010053
lip_met_proc,FBgn0010328
lip_met_proc,FBgn0010350
lip_met_proc,FBgn0010379
lip_met_proc,FBgn0010383
lip_met_proc,FBgn0010516
lip_met_proc,FBgn0010591
lip_met_proc,FBgn0010611
lip_met_proc,FBgn0011361
lip_met_proc,FBgn0011693
lip_met_proc,FBgn0011769
lip_met_proc,FBgn0012034
lip_met_proc,FBgn0013323
lip_met_proc,FBgn0013772
lip_met_proc,FBgn0014906
lip_met_proc,FBgn0015277
lip_met_proc,FBgn0015278
lip_met_proc,FBgn0015279
lip_met_proc,FBgn0015582
lip_met_proc,FBgn0015591
lip_met_proc,FBgn0016078
lip_met_proc,FBgn0016672
lip_met_proc,FBgn0016694
lip_met_proc,FBgn0016984
lip_met_proc,FBgn0019662
lip_met_proc,FBgn0020236
lip_met_proc,FBgn0020622
lip_met_proc,FBgn0021765
lip_met_proc,FBgn0023169
lip_met_proc,FBgn0023495
lip_met_proc,FBgn0023496
lip_met_proc,FBgn0023508
lip_met_proc,FBgn0023545
lip_met_proc,FBgn0024248
lip_met_proc,FBgn0024320
lip_met_proc,FBgn0024740
lip_met_proc,FBgn0025352
lip_met_proc,FBgn0025373
lip_met_proc,FBgn0025592
lip_met_proc,FBgn0025595
lip_met_proc,FBgn0025615
lip_met_proc,FBgn0025697
lip_met_proc,FBgn0025885
lip_met_proc,FBgn0026379
lip_met_proc,FBgn0026576
lip_met_proc,FBgn0026619
lip_met_proc,FBgn0026630
lip_met_proc,FBgn0026718
lip_met_proc,FBgn0027348
lip_met_proc,FBgn0027538
lip_met_proc,FBgn0027569
lip_met_proc,FBgn0027572
lip_met_proc,FBgn0027579
lip_met_proc,FBgn0027601
lip_met_proc,FBgn0027780
lip_met_proc,FBgn0028479
lip_met_proc,FBgn0028497
lip_met_proc,FBgn0028519
lip_met_proc,FBgn0028741
lip_met_proc,FBgn0028841
lip_met_proc,FBgn0028916
lip_met_proc,FBgn0029067
lip_met_proc,FBgn0029158
lip_met_proc,FBgn0029172
lip_met_proc,FBgn0029687
lip_met_proc,FBgn0029720
lip_met_proc,FBgn0029818
lip_met_proc,FBgn0029831
lip_met_proc,FBgn0029870
lip_met_proc,FBgn0029906
lip_met_proc,FBgn0029924
lip_met_proc,FBgn0029945
lip_met_proc,FBgn0029969
lip_met_proc,FBgn0029980
lip_met_proc,FBgn0030013
lip_met_proc,FBgn0030035
lip_met_proc,FBgn0030092
lip_met_proc,FBgn0030162
lip_met_proc,FBgn0030300
lip_met_proc,FBgn0030421
lip_met_proc,FBgn0030465
lip_met_proc,FBgn0030485
lip_met_proc,FBgn0030509
lip_met_proc,FBgn0030582
lip_met_proc,FBgn0030586
lip_met_proc,FBgn0030587
lip_met_proc,FBgn0030588
lip_met_proc,FBgn0030589
lip_met_proc,FBgn0030590
lip_met_proc,FBgn0030592
lip_met_proc,FBgn0030593
lip_met_proc,FBgn0030594
lip_met_proc,FBgn0030596
lip_met_proc,FBgn0030597
lip_met_proc,FBgn0030598
lip_met_proc,FBgn0030607
lip_met_proc,FBgn0030608
lip_met_proc,FBgn0030645
lip_met_proc,FBgn0030670
lip_met_proc,FBgn0030683
lip_met_proc,FBgn0030731
lip_met_proc,FBgn0030761
lip_met_proc,FBgn0030800
lip_met_proc,FBgn0030828
lip_met_proc,FBgn0030884
lip_met_proc,FBgn0031092
lip_met_proc,FBgn0031284
lip_met_proc,FBgn0031312
lip_met_proc,FBgn0031381
lip_met_proc,FBgn0031422
lip_met_proc,FBgn0031426
lip_met_proc,FBgn0031491
lip_met_proc,FBgn0031533
lip_met_proc,FBgn0031566
lip_met_proc,FBgn0031662
lip_met_proc,FBgn0031703
lip_met_proc,FBgn0031735
lip_met_proc,FBgn0031813
lip_met_proc,FBgn0031815
lip_met_proc,FBgn0031948
lip_met_proc,FBgn0031976
lip_met_proc,FBgn0031997
lip_met_proc,FBgn0032014
lip_met_proc,FBgn0032029
lip_met_proc,FBgn0032052
lip_met_proc,FBgn0032078
lip_met_proc,FBgn0032135
lip_met_proc,FBgn0032160
lip_met_proc,FBgn0032161
lip_met_proc,FBgn0032162
lip_met_proc,FBgn0032192
lip_met_proc,FBgn0032234
lip_met_proc,FBgn0032266
lip_met_proc,FBgn0032336
lip_met_proc,FBgn0032394
lip_met_proc,FBgn0032402
lip_met_proc,FBgn0032477
lip_met_proc,FBgn0032524
lip_met_proc,FBgn0032603
lip_met_proc,FBgn0032612
lip_met_proc,FBgn0032721
lip_met_proc,FBgn0032775
lip_met_proc,FBgn0032811
lip_met_proc,FBgn0032845
lip_met_proc,FBgn0032881
lip_met_proc,FBgn0032955
lip_met_proc,FBgn0032973
lip_met_proc,FBgn0032981
lip_met_proc,FBgn0033052
lip_met_proc,FBgn0033088
lip_met_proc,FBgn0033170
lip_met_proc,FBgn0033187
lip_met_proc,FBgn0033246
lip_met_proc,FBgn0033382
lip_met_proc,FBgn0033465
lip_met_proc,FBgn0033476
lip_met_proc,FBgn0033479
lip_met_proc,FBgn0033673
lip_met_proc,FBgn0033697
lip_met_proc,FBgn0033733
lip_met_proc,FBgn0033761
lip_met_proc,FBgn0033799
lip_met_proc,FBgn0033817
lip_met_proc,FBgn0033844
lip_met_proc,FBgn0033879
lip_met_proc,FBgn0033883
lip_met_proc,FBgn0033949
lip_met_proc,FBgn0033983
lip_met_proc,FBgn0033999
lip_met_proc,FBgn0034117
