"","Var1","Freq"
"848","FBgn0037197",1
"849","FBgn0037204",2
"850","FBgn0037223",2
"851","FBgn0037254",1
"852","FBgn0037276",1
"853","FBgn0037283",1
"854","FBgn0037284",1
"855","FBgn0037320",1
"856","FBgn0037388",1
"857","FBgn0037395",2
"858","FBgn0037397",2
"859","FBgn0037398",1
"860","FBgn0037399",1
"861","FBgn0037402",3
"862","FBgn0037406",1
"863","FBgn0037410",3
"864","FBgn0037411",2
"865","FBgn0037412",2
"866","FBgn0037413",2
"867","FBgn0037417",1
"868","FBgn0037418",1
"869","FBgn0037419",1
"870","FBgn0037421",1
"871","FBgn0037422",1
"872","FBgn0037427",4
"873","FBgn0037436",1
"874","FBgn0037449",1
"875","FBgn0037456",1
"876","FBgn0037460",1
"877","FBgn0037461",2
"878","FBgn0037462",1
"879","FBgn0037463",1
"880","FBgn0037477",1
"881","FBgn0037483",2
"882","FBgn0037486",3
"883","FBgn0037487",1
"884","FBgn0037498",1
"885","FBgn0037500",1
"886","FBgn0037501",1
"887","FBgn0037502",1
"888","FBgn0037503",1
"889","FBgn0037512",2
"890","FBgn0037514",1
"891","FBgn0037516",2
"892","FBgn0037584",1
"893","FBgn0037591",1
"894","FBgn0037618",1
"895","FBgn0037626",1
"896","FBgn0037645",2
"897","FBgn0037665",2
"898","FBgn0037666",2
"899","FBgn0037677",1
"900","FBgn0037827",1
"901","FBgn0037828",1
"902","FBgn0037829",3
"903","FBgn0037857",1
"904","FBgn0037860",1
"905","FBgn0037862",1
"906","FBgn0037910",1
"907","FBgn0037916",1
"908","FBgn0037937",1
"909","FBgn0037939",1
"910","FBgn0037940",1
"911","FBgn0037985",1
"912","FBgn0037986",4
"913","FBgn0037987",1
"914","FBgn0037988",1
"915","FBgn0037994",1
"916","FBgn0037995",1
"917","FBgn0038000",1
"918","FBgn0038001",1
"919","FBgn0038003",1
"920","FBgn0038005",1
"921","FBgn0038006",1
"922","FBgn0038008",1
"923","FBgn0038067",1
"924","FBgn0038068",1
"925","FBgn0038069",1
"926","FBgn0038070",1
"927","FBgn0038073",8
"928","FBgn0038089",1
"929","FBgn0038090",1
"930","FBgn0038122",1
"931","FBgn0038123",1
"932","FBgn0038124",1
"933","FBgn0038125",1
"934","FBgn0038127",1
"935","FBgn0038131",1
"936","FBgn0038132",1
"937","FBgn0038139",2
"938","FBgn0038140",1
"939","FBgn0038151",1
"940","FBgn0038153",1
"941","FBgn0038157",1
"942","FBgn0038158",1
"943","FBgn0038159",1
"944","FBgn0038161",1
"945","FBgn0038163",2
"946","FBgn0038188",1
"947","FBgn0038189",1
"948","FBgn0038200",1
"949","FBgn0038203",1
"950","FBgn0038208",1
"951","FBgn0038209",1
"952","FBgn0038210",1
"953","FBgn0038225",1
"954","FBgn0038239",1
"955","FBgn0038240",1
"956","FBgn0038241",1
"957","FBgn0038280",1
"958","FBgn0038281",1
"959","FBgn0038339",3
"960","FBgn0038345",1
"961","FBgn0038348",1
"962","FBgn0038355",2
"963","FBgn0038356",1
"964","FBgn0038357",1
"965","FBgn0038359",1
"966","FBgn0038423",2
"967","FBgn0038439",1
"968","FBgn0038451",1
"969","FBgn0038452",1
"970","FBgn0038458",1
"971","FBgn0038468",1
"972","FBgn0038485",1
"973","FBgn0038486",1
"974","FBgn0038505",1
"975","FBgn0038506",1
"976","FBgn0038507",1
"977","FBgn0038508",1
"978","FBgn0038509",1
"979","FBgn0038512",1
"980","FBgn0038523",1
"981","FBgn0038527",1
"982","FBgn0038528",1
"983","FBgn0038529",1
"984","FBgn0038531",1
"985","FBgn0038539",2
"986","FBgn0038541",4
"987","FBgn0038565",1
"988","FBgn0038567",1
"989","FBgn0038568",1
"990","FBgn0038602",1
"991","FBgn0038626",1
"992","FBgn0038642",2
"993","FBgn0038643",1
"994","FBgn0038655",1
"995","FBgn0038676",1
"996","FBgn0038694",1
"997","FBgn0038695",2
"998","FBgn0038705",1
"999","FBgn0038727",1
"1000","FBgn0038750",1
"1001","FBgn0038751",1
"1002","FBgn0038773",1
"1003","FBgn0038784",1
"1004","FBgn0038789",1
"1005","FBgn0038797",2
"1006","FBgn0038819",1
"1007","FBgn0038833",1
"1008","FBgn0038838",1
"1009","FBgn0038851",1
"1010","FBgn0038852",1
"1011","FBgn0038874",3
"1012","FBgn0038886",1
"1013","FBgn0038887",2
"1014","FBgn0038888",1
"1015","FBgn0038892",1
"1016","FBgn0038915",1
"1017","FBgn0038931",1
"1018","FBgn0038941",1
"1019","FBgn0038942",1
"1020","FBgn0038943",1
"1021","FBgn0038944",2
"1022","FBgn0038945",1
"1023","FBgn0038967",2
"1024","FBgn0038978",1
"1025","FBgn0038979",2
"1026","FBgn0039010",1
"1027","FBgn0039027",3
"1028","FBgn0039029",2
"1029","FBgn0039039",2
"1030","FBgn0039059",1
"1031","FBgn0039071",1
"1032","FBgn0039077",1
"1033","FBgn0039078",2
"1034","FBgn0039079",1
"1035","FBgn0039080",1
"1036","FBgn0039083",1
"1037","FBgn0039088",2
